generation,best_fitness,mean_fitness,std_fitness
1,-0.0,0.0,0.0
2,-0.0,0.0,0.0
3,-0.0,0.0,0.0
4,-0.0,0.0,0.0
5,-0.1,-0.006666666666666667,0.024944382578492942
6,-0.4,-0.03333333333333333,0.10110500592068736
7,-0.3,-0.02,0.0748331477354788
8,-0.3,-0.02,0.0748331477354788
9,-0.2,-0.013333333333333334,0.049888765156985884
10,-0.1,-0.013333333333333334,0.033993463423951896
11,-0.4,-0.02666666666666667,0.09977753031397177
12,-0.2,-0.03333333333333333,0.0596284793999944
13,-0.4,-0.060000000000000005,0.10832051206181281
14,-0.5,-0.09333333333333335,0.12364824660660939
15,-0.4,-0.16000000000000003,0.14047538337136983
16,-0.3,-0.060000000000000005,0.08793937305515281
17,-0.3,-0.11333333333333334,0.11469767022723501
18,-0.7,-0.16000000000000003,0.17435595774162693
19,-0.5,-0.15333333333333338,0.13097921802925666
20,-0.5,-0.17333333333333334,0.13888444437333106
21,-0.5,-0.22,0.1833030277982336
22,-0.6,-0.24666666666666667,0.14544949486180953
23,-0.8,-0.17333333333333334,0.2048305532764962
24,-0.5,-0.20666666666666672,0.1436043948569201
25,-0.6,-0.2733333333333333,0.18061622912192088
26,-0.7,-0.30000000000000004,0.196638416050035
27,-0.6,-0.2533333333333333,0.13597385369580758
28,-0.5,-0.2,0.1264911064067352
29,-0.5,-0.23333333333333336,0.13498971154211056
30,-0.4,-0.17333333333333334,0.118133634311129
