arm,rate,node_noise,seed,score,modulator,mean_abs_delta,alignment,alignment_decay,alignment_floor
node_perturbation,0.001,0.01,4,-0.895504,0.002143,0.00025407,0.047469,nan,0.047469
node_perturbation,0.001,0.05,4,-0.498387,0.002224,0.00024158,0.144509,nan,0.144509
node_perturbation,0.001,0.2,4,-0.187320,0.001998,0.00023006,0.311192,nan,0.311192
node_perturbation_annealed,0.001,0.2,5,-0.386559,0.002216,0.00024063,0.111434,0.180916,0.041952
analytic,,,5,-0.133413,nan,nan,0.114374,nan,0.114374
hebbian,,,5,-0.573271,1.000000,0.00062328,0.046045,nan,0.046045
three_factor,0.0001,,5,-0.750632,0.002184,0.00002269,0.013998,nan,0.013998
three_factor,0.001,,5,-0.706254,0.002157,0.00005563,0.041575,nan,0.041575
three_factor,0.01,,5,-0.703402,0.002179,0.00014190,0.000759,nan,0.000759
node_perturbation,0.001,0.01,5,-0.637440,0.002237,0.00025031,0.032521,nan,0.032521
node_perturbation,0.001,0.05,5,-0.381666,0.002268,0.00024594,0.116040,nan,0.116040
node_perturbation,0.001,0.2,5,-0.183285,0.002119,0.00022473,0.239400,nan,0.239400
node_perturbation_annealed,0.001,0.2,6,-1.024042,0.002048,0.00026062,0.065585,0.083131,0.048039
analytic,,,6,-0.134097,nan,nan,0.703686,nan,0.703686
hebbian,,,6,-1.382826,1.000000,0.00060730,-0.065399,nan,-0.065399
three_factor,0.0001,,6,-1.161269,0.001972,0.00002567,0.119823,nan,0.119823
three_factor,0.001,,6,-1.032652,0.002027,0.00011730,0.052800,nan,0.052800
three_factor,0.01,,6,-1.071733,0.002028,0.00124982,0.001454,nan,0.001454
node_perturbation,0.001,0.01,6,-1.330333,0.002134,0.00026674,0.008241,nan,0.008241
node_perturbation,0.001,0.05,6,-1.074183,0.002127,0.00026483,0.058518,nan,0.058518
node_perturbation,0.001,0.2,6,-0.201903,0.002167,0.00024242,0.328557,nan,0.328557
node_perturbation_annealed,0.001,0.2,7,-0.414330,0.002342,0.00025259,0.120424,0.173428,0.067420
analytic,,,7,-0.137639,nan,nan,0.103528,nan,0.103528
hebbian,,,7,-0.739909,1.000000,0.00063497,0.012924,nan,0.012924
three_factor,0.0001,,7,-0.696037,0.002170,0.00002303,0.111761,nan,0.111761
three_factor,0.001,,7,-0.694139,0.002154,0.00008745,0.024866,nan,0.024866
three_factor,0.01,,7,-0.659103,0.002142,0.00094669,0.003165,nan,0.003165
node_perturbation,0.001,0.01,7,-0.784461,0.002181,0.00028147,0.009562,nan,0.009562
node_perturbation,0.001,0.05,7,-0.423513,0.002307,0.00026591,0.116173,nan,0.116173
node_perturbation,0.001,0.2,7,-0.188824,0.002194,0.00023851,0.271122,nan,0.271122
node_perturbation_annealed,0.001,0.2,8,-0.350667,0.002220,0.00022690,0.130684,0.243275,0.018093
analytic,,,8,-0.143073,nan,nan,0.433249,nan,0.433249
hebbian,,,8,-0.888715,1.000000,0.00061011,-0.031520,nan,-0.031520
three_factor,0.0001,,8,-0.817227,0.002230,0.00002169,-0.034898,nan,-0.034898
three_factor,0.001,,8,-0.708888,0.002192,0.00007698,0.016471,nan,0.016471
three_factor,0.01,,8,-0.708267,0.002192,0.00010132,-0.000410,nan,-0.000410
node_perturbation,0.001,0.01,8,-0.605714,0.002256,0.00025583,0.042632,nan,0.042632
node_perturbation,0.001,0.05,8,-0.346044,0.002304,0.00023710,0.135510,nan,0.135510
node_perturbation,0.001,0.2,8,-0.213161,0.002090,0.00022946,0.238194,nan,0.238194
