cell,arm,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
hard_food,wild_type,81,16.995000,0.446000,1384.000000,1587.000000,0
hard_food,wild_type,82,17.291667,0.397000,648.000000,622.000000,0
hard_food,wild_type,83,17.428667,0.459333,1010.000000,1589.000000,0
hard_food,wild_type,84,17.536000,0.448667,1386.000000,1457.000000,0
hard_food,wild_type,85,17.720333,0.483667,1241.000000,1401.000000,0
hard_food,wild_type,86,17.963667,0.512333,428.000000,658.000000,0
hard_food,wild_type,87,17.320667,0.405333,1357.000000,1370.000000,0
hard_food,wild_type,88,17.154000,0.376000,417.000000,448.000000,0
hard_food,wild_type,89,17.351667,0.415667,1419.000000,1444.000000,0
hard_food,wild_type,90,17.369000,0.424667,379.000000,411.000000,0
hard_food,wild_type,91,15.914667,0.342667,1510.000000,1527.000000,0
hard_food,wild_type,92,17.253000,0.435000,572.000000,638.000000,0
hard_food,wild_type,93,17.469667,0.434333,518.000000,1518.000000,0
hard_food,wild_type,94,17.510000,0.434333,1528.000000,1541.000000,0
hard_food,wild_type,95,18.014667,0.514333,451.000000,476.000000,0
hard_food,wild_type,96,17.329667,0.427333,368.000000,460.000000,0
hard_food,rewired_null,65,16.259000,0.334333,1684.000000,1729.000000,0
hard_food,rewired_null,66,16.891333,0.389333,623.000000,564.000000,0
hard_food,rewired_null,67,16.486000,0.355667,1628.000000,1654.000000,0
hard_food,rewired_null,68,16.809000,0.339000,1622.000000,1534.000000,0
hard_food,rewired_null,69,16.850000,0.374333,1442.000000,1440.000000,0
hard_food,rewired_null,70,16.463667,0.367000,1561.000000,1634.000000,0
hard_food,rewired_null,71,17.177333,0.382000,1493.000000,1513.000000,0
hard_food,rewired_null,72,16.867000,0.351333,1651.000000,1690.000000,0
hard_food,rewired_null,73,17.072667,0.403667,1605.000000,1643.000000,0
hard_food,rewired_null,74,16.361333,0.283333,1807.000000,1644.000000,0
hard_food,rewired_null,75,16.915667,0.363000,419.000000,1648.000000,0
hard_food,rewired_null,76,16.243000,0.311667,1777.000000,1761.000000,0
hard_food,rewired_null,77,17.055667,0.375667,610.000000,636.000000,0
hard_food,rewired_null,78,17.334333,0.378000,302.000000,291.000000,0
hard_food,rewired_null,79,17.330000,0.409667,1496.000000,1505.000000,0
hard_food,rewired_null,80,16.511333,0.314000,1848.000000,1824.000000,0
hard_food,rewired_null,81,16.673667,0.359000,1447.000000,1517.000000,0
hard_food,rewired_null,82,16.876667,0.412000,1623.000000,1716.000000,0
hard_food,rewired_null,83,15.847000,0.302333,1629.000000,1594.000000,0
hard_food,rewired_null,84,17.500333,0.420000,551.000000,589.000000,0
hard_food,rewired_null,85,16.387000,0.326333,1708.000000,1734.000000,0
hard_food,rewired_null,86,17.287667,0.425667,1353.000000,1378.000000,0
hard_food,rewired_null,87,16.408333,0.338000,1668.000000,1229.000000,0
hard_food,rewired_null,88,17.016000,0.376667,1462.000000,1509.000000,0
hard_food,rewired_null,89,16.469000,0.325000,1583.000000,2036.000000,0
hard_food,rewired_null,90,17.057333,0.377667,1597.000000,1610.000000,0
hard_food,rewired_null,91,17.054333,0.393000,1297.000000,1430.000000,0
hard_food,rewired_null,92,16.396000,0.308000,1449.000000,1367.000000,0
hard_food,rewired_null,93,16.472667,0.346667,1712.000000,1622.000000,0
hard_food,rewired_null,94,17.215000,0.373333,352.000000,370.000000,0
hard_food,rewired_null,95,16.889667,0.395667,1595.000000,1833.000000,0
hard_food,rewired_null,96,16.899000,0.341000,1594.000000,1594.000000,0
