rate,width,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
1e-4,pooled,wt,73,13.184667,0.037333,3000.000000,1328.000000,1
1e-4,pooled,wt,74,13.252333,0.061000,3000.000000,1324.000000,1
1e-4,pooled,wt,75,7.762333,0.000667,3000.000000,1206.000000,1
1e-4,pooled,wt,76,14.786333,0.116000,2.000000,2.000000,0
1e-4,pooled,wt,77,5.167000,0.003000,3000.000000,1894.000000,1
1e-4,pooled,wt,78,13.593667,0.161000,2421.000000,1757.000000,0
1e-4,pooled,wt,79,14.946333,0.215333,1951.000000,1477.000000,0
1e-4,pooled,wt,80,11.092333,0.023000,3000.000000,1870.000000,1
1e-4,pooled,wt,81,9.775000,0.007333,3000.000000,1840.000000,1
1e-4,pooled,wt,82,4.581000,0.000000,3000.000000,186.000000,1
1e-4,pooled,wt,83,11.596667,0.027000,3000.000000,1848.000000,1
1e-4,pooled,wt,84,15.330667,0.186333,2182.000000,602.000000,0
1e-4,pooled,wt,85,17.256333,0.391333,446.000000,299.000000,0
1e-4,pooled,wt,86,15.620333,0.439000,1021.000000,1286.000000,0
1e-4,pooled,wt,87,11.791333,0.104333,2886.000000,1926.000000,0
1e-4,pooled,wt,88,14.566667,0.261333,1488.000000,1102.000000,0
1e-4,pooled,wt,89,2.354667,0.000000,3000.000000,1805.000000,1
1e-4,pooled,wt,90,14.625667,0.295333,1362.000000,1359.000000,0
1e-4,pooled,wt,91,3.063333,0.000000,3000.000000,2547.000000,1
1e-4,pooled,wt,92,10.934667,0.045333,3000.000000,1853.000000,1
1e-4,pooled,wt,93,7.025333,0.001667,3000.000000,1925.000000,1
1e-4,pooled,wt,94,13.942333,0.091000,3000.000000,1356.000000,1
1e-4,pooled,wt,95,15.125667,0.255333,1505.000000,1296.000000,0
1e-4,pooled,wt,96,12.985000,0.081667,3000.000000,1367.000000,1
1e-4,pooled,rn,1,17.567000,0.545000,735.000000,851.000000,0
1e-4,pooled,rn,2,16.614333,0.308000,1413.000000,1056.000000,0
1e-4,pooled,rn,3,14.450667,0.132667,2732.000000,1719.000000,0
1e-4,pooled,rn,4,15.144667,0.201667,2202.000000,1408.000000,0
1e-4,pooled,rn,5,11.549000,0.017000,3000.000000,1672.000000,1
1e-4,pooled,rn,6,13.728667,0.107667,3000.000000,1002.000000,1
1e-4,pooled,rn,7,15.201667,0.155333,2317.000000,1408.000000,0
1e-4,pooled,rn,8,9.007333,0.004000,3000.000000,801.000000,1
1e-4,pooled,rn,9,12.593667,0.043333,3000.000000,1635.000000,1
1e-4,pooled,rn,10,14.584333,0.178000,2120.000000,1344.000000,0
1e-4,pooled,rn,11,8.809000,0.020333,3000.000000,1082.000000,1
1e-4,pooled,rn,12,14.287667,0.080333,3000.000000,999.000000,1
1e-4,pooled,rn,13,7.594667,0.036667,3000.000000,2043.000000,1
1e-4,pooled,rn,14,16.933333,0.377667,1134.000000,1067.000000,0
1e-4,pooled,rn,15,10.958000,0.061333,3000.000000,1419.000000,1
1e-4,pooled,rn,16,14.687000,0.243333,1946.000000,1830.000000,0
1e-4,pooled,rn,17,11.781000,0.034667,3000.000000,1608.000000,1
1e-4,pooled,rn,18,16.015333,0.237333,1896.000000,872.000000,0
1e-4,pooled,rn,19,14.092667,0.164667,2274.000000,1430.000000,0
1e-4,pooled,rn,20,11.518333,0.006333,3000.000000,1392.000000,1
1e-4,pooled,rn,21,3.964000,0.000000,3000.000000,1.000000,1
1e-4,pooled,rn,22,15.903000,0.400667,818.000000,780.000000,0
1e-4,pooled,rn,23,10.585000,0.052333,3000.000000,1969.000000,1
1e-4,pooled,rn,24,16.282000,0.450000,1294.000000,1443.000000,0
1e-4,pooled,rn,25,15.284333,0.369333,1256.000000,1266.000000,0
1e-4,pooled,rn,26,15.427333,0.183333,2595.000000,918.000000,0
1e-4,pooled,rn,27,16.080000,0.440667,1243.000000,1267.000000,0
1e-4,pooled,rn,28,14.006000,0.085667,3000.000000,1344.000000,1
1e-4,pooled,rn,29,12.817667,0.069000,2871.000000,2049.000000,0
1e-4,pooled,rn,30,14.833333,0.310333,1389.000000,1447.000000,0
1e-4,pooled,rn,31,12.444333,0.050000,3000.000000,1692.000000,1
1e-4,pooled,rn,32,14.969000,0.197000,2577.000000,1073.000000,0
1e-4,pooled,rn,33,10.250000,0.062000,3000.000000,1741.000000,1
1e-4,pooled,rn,34,15.031000,0.235333,1769.000000,1393.000000,0
1e-4,pooled,rn,35,11.139000,0.016667,3000.000000,1678.000000,1
1e-4,pooled,rn,36,14.538000,0.297333,1649.000000,1589.000000,0
1e-4,pooled,rn,37,11.768667,0.055333,3000.000000,1704.000000,1
1e-4,pooled,rn,38,14.595000,0.242000,1804.000000,1699.000000,0
1e-4,pooled,rn,39,13.697667,0.202667,2252.000000,1690.000000,0
1e-4,pooled,rn,40,13.407000,0.067667,3000.000000,1287.000000,1
1e-4,pooled,rn,41,12.861667,0.087000,2943.000000,1757.000000,0
1e-4,pooled,rn,42,12.455667,0.044667,3000.000000,1848.000000,1
1e-4,pooled,rn,43,12.354000,0.133333,2577.000000,2031.000000,0
1e-4,pooled,rn,44,4.425333,0.000000,3000.000000,2229.000000,1
1e-4,pooled,rn,45,12.897667,0.116000,2923.000000,1568.000000,0
1e-4,pooled,rn,46,7.228000,0.000000,3000.000000,2080.000000,1
1e-4,pooled,rn,47,13.255667,0.237000,1928.000000,1773.000000,0
1e-4,pooled,rn,48,11.113667,0.034333,3000.000000,947.000000,1
1e-4,pooled,rn,49,13.340667,0.042000,3000.000000,1187.000000,1
1e-4,pooled,rn,50,12.926667,0.037333,3000.000000,1580.000000,1
1e-4,pooled,rn,51,10.080667,0.102667,2400.000000,2284.000000,0
1e-4,pooled,rn,52,12.765667,0.029667,3000.000000,1348.000000,1
1e-4,pooled,rn,53,12.256333,0.052333,3000.000000,1698.000000,1
1e-4,pooled,rn,54,10.069333,0.052333,3000.000000,2226.000000,1
1e-4,pooled,rn,55,11.509000,0.113333,2516.000000,1949.000000,0
1e-4,pooled,rn,56,14.202667,0.170000,2191.000000,1365.000000,0
1e-4,pooled,rn,57,9.914667,0.001667,3000.000000,1568.000000,1
1e-4,pooled,rn,58,15.155000,0.160333,2576.000000,1365.000000,0
1e-4,pooled,rn,59,13.657667,0.128333,2454.000000,1530.000000,0
1e-4,pooled,rn,60,16.354333,0.354333,1184.000000,1187.000000,0
1e-4,pooled,rn,61,15.671333,0.313667,1302.000000,1259.000000,0
1e-4,pooled,rn,62,15.991667,0.227333,2070.000000,463.000000,0
1e-4,pooled,rn,63,13.597333,0.043667,3000.000000,1294.000000,1
1e-4,pooled,rn,64,14.899333,0.399000,1279.000000,1254.000000,0
1e-4,pooled,rn,65,11.927000,0.038333,3000.000000,1770.000000,1
1e-4,pooled,rn,66,11.401000,0.057333,3000.000000,1802.000000,1
1e-4,pooled,rn,67,13.975000,0.092000,3000.000000,1203.000000,1
