arm,seed,success,foods,episodes,converged,onset,evasion_rate,temp_comfort,peak_action_density
wt_clone_frozen,1,39.33333333333333,6.873333333333333,600,True,466,51.11111111111112,0.7548645063417992,28.249099731445312
wt_clone_frozen,2,44.0,7.246666666666667,600,True,549,54.36241610738255,0.8215175804426065,27.176034927368164
wt_clone_frozen,3,40.0,7.013333333333334,600,True,569,54.379210779595766,0.6719229041062424,24.56277847290039
wt_clone_frozen,4,21.333333333333336,5.38,600,True,513,43.763919821826285,0.630557467069648,29.90945053100586
wt_clone_frozen,5,47.11111111111111,7.253333333333333,900,False,,55.35483870967742,0.7833223100754468,24.19013786315918
wt_clone_frozen,6,33.33333333333333,6.053333333333334,600,True,457,45.969498910675384,0.7155791787464403,17.90541648864746
wt_clone_frozen,7,61.33333333333333,8.28,600,True,554,63.893653516295025,0.7120157735599618,24.508525848388672
wt_clone_frozen,8,23.333333333333332,5.446666666666666,600,True,457,44.41913439635535,0.6875818567782797,22.314634323120117
rn_clone_frozen,1,44.0,7.206666666666667,600,True,477,54.77338476374156,0.7090247720459397,19.7465877532959
rn_clone_frozen,2,40.666666666666664,6.8533333333333335,600,True,496,53.602305475504316,0.8444324773818033,24.464664459228516
rn_clone_frozen,3,47.333333333333336,7.286666666666667,600,True,568,57.85046728971963,0.720168370748511,21.55709457397461
rn_clone_frozen,4,44.666666666666664,7.326666666666667,600,True,526,57.738646895273405,0.7584256664970814,22.141571044921875
rn_clone_frozen,5,48.0,7.306666666666667,600,True,555,53.43968095712861,0.8013299699191113,21.70930290222168
rn_clone_frozen,6,36.0,6.526666666666666,600,True,531,49.94871794871795,0.729091601260202,20.040271759033203
rn_clone_frozen,7,55.333333333333336,7.886666666666667,600,True,554,61.5180935569285,0.6948342212009916,34.886940002441406
rn_clone_frozen,8,26.0,5.88,600,True,552,44.4568868980963,0.7559231057148186,22.667972564697266
wt_clone_hebbian,1,7.000000000000001,3.476,2000,True,1,4.16435313714603,0.7867535229497243,8.599379539489746
wt_clone_hebbian,2,56.00000000000001,7.946,2000,True,1122,34.104046242774565,0.8337946259795813,20.918773651123047
wt_clone_hebbian,3,57.599999999999994,8.07,2000,True,698,28.477112676056343,0.7092667715458855,10.374298095703125
wt_clone_hebbian,4,74.0,9.168,2000,True,1216,49.59029826286463,0.7256269680540651,10.52720832824707
wt_clone_hebbian,5,50.4,7.536,2000,True,281,42.38151194672935,0.629291593621967,13.819089889526367
wt_clone_hebbian,6,2.666666666666667,2.64,3000,True,1,36.187639612807146,0.33837307287997637,10.617620468139648
wt_clone_hebbian,7,39.0,6.52,2000,True,1373,65.00607533414338,0.42880994827275065,23.080196380615234
wt_clone_hebbian,8,22.400000000000002,5.366,2000,True,1037,21.836121836121837,0.8437733494975275,6.479596138000488
