wiring,width,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
rn,pooled,5,16.346333,0.301000,1622.000000,584.000000,0
rn,pooled,6,16.770000,0.450333,432.000000,419.000000,0
rn,pooled,7,18.373667,0.565000,457.000000,467.000000,0
rn,pooled,8,14.377000,0.319333,1497.000000,1892.000000,0
rn,pooled,9,17.186667,0.367333,819.000000,501.000000,0
rn,pooled,10,17.765333,0.532000,270.000000,289.000000,0
rn,pooled,11,11.207333,0.065333,3000.000000,284.000000,1
rn,pooled,12,17.076333,0.314333,749.000000,462.000000,0
rn,pooled,13,14.961333,0.333333,779.000000,692.000000,0
rn,pooled,14,19.160667,0.806667,232.000000,332.000000,0
rn,pooled,15,14.969333,0.297333,1083.000000,679.000000,0
rn,pooled,16,18.730333,0.742333,269.000000,320.000000,0
rn,pooled,17,12.789000,0.178000,1568.000000,930.000000,0
rn,pooled,18,18.304000,0.587333,392.000000,390.000000,0
rn,pooled,19,18.238333,0.618000,250.000000,345.000000,0
rn,pooled,20,18.348000,0.718667,401.000000,454.000000,0
rn,pooled,21,15.044000,0.267000,1124.000000,1007.000000,0
rn,pooled,22,18.746333,0.749000,126.000000,259.000000,0
rn,pooled,23,16.529667,0.450667,676.000000,831.000000,0
rn,pooled,24,19.463000,0.901667,176.000000,248.000000,0
rn,pooled,25,18.762333,0.780000,247.000000,292.000000,0
rn,pooled,26,18.581000,0.647000,219.000000,239.000000,0
rn,pooled,27,19.000000,0.844667,287.000000,337.000000,0
rn,pooled,28,16.601333,0.289000,924.000000,374.000000,0
rn,pooled,29,18.282667,0.639333,361.000000,408.000000,0
rn,pooled,30,17.963333,0.597000,409.000000,419.000000,0
rn,pooled,31,17.621000,0.483333,892.000000,904.000000,0
rn,pooled,32,17.429333,0.486333,481.000000,474.000000,0
rn,pooled,33,18.304000,0.653333,399.000000,447.000000,0
rn,pooled,34,18.254667,0.661667,235.000000,332.000000,0
rn,pooled,35,17.181667,0.459333,471.000000,467.000000,0
rn,pooled,36,18.761333,0.797667,288.000000,350.000000,0
rn,pooled,37,15.228667,0.320333,786.000000,784.000000,0
rn,pooled,38,18.530000,0.696333,289.000000,364.000000,0
rn,pooled,39,18.549667,0.697000,348.000000,572.000000,0
rn,pooled,40,17.457333,0.424667,573.000000,491.000000,0
rn,pooled,41,18.513333,0.626333,397.000000,390.000000,0
rn,pooled,42,16.982333,0.411000,566.000000,536.000000,0
rn,pooled,43,18.515333,0.747333,356.000000,409.000000,0
rn,pooled,44,15.943333,0.409333,632.000000,673.000000,0
rn,pooled,45,15.819333,0.391000,490.000000,317.000000,0
rn,pooled,46,17.756667,0.588000,381.000000,409.000000,0
rn,pooled,47,18.599667,0.773333,260.000000,309.000000,0
rn,pooled,48,13.959333,0.166667,3000.000000,699.000000,1
rn,pooled,49,16.796333,0.309000,1298.000000,564.000000,0
rn,pooled,50,17.172667,0.376333,691.000000,561.000000,0
rn,pooled,51,14.553667,0.166000,3000.000000,474.000000,1
rn,pooled,52,15.463333,0.405333,719.000000,307.000000,0
rn,pooled,53,11.278667,0.098333,3000.000000,800.000000,1
rn,pooled,54,17.092000,0.443333,427.000000,457.000000,0
rn,pooled,55,18.463333,0.686000,375.000000,400.000000,0
rn,pooled,56,17.005000,0.492000,316.000000,311.000000,0
rn,pooled,57,14.111000,0.124333,3000.000000,893.000000,1
rn,pooled,58,18.440333,0.590333,304.000000,310.000000,0
rn,pooled,59,17.101667,0.553000,405.000000,380.000000,0
rn,pooled,60,18.772333,0.737667,172.000000,237.000000,0
rn,pooled,61,18.506667,0.700333,173.000000,217.000000,0
rn,pooled,62,17.698667,0.450333,271.000000,242.000000,0
rn,pooled,63,16.500667,0.241000,550.000000,364.000000,0
rn,pooled,64,18.684000,0.812667,289.000000,351.000000,0
rn,pooled,65,15.599000,0.276333,888.000000,602.000000,0
rn,pooled,66,14.807667,0.263333,1001.000000,484.000000,0
rn,pooled,67,17.246333,0.403000,702.000000,436.000000,0
rn,pooled,68,18.002667,0.681667,306.000000,290.000000,0
rn,pooled,69,11.817667,0.070333,3000.000000,457.000000,1
rn,pooled,70,16.132000,0.480333,528.000000,658.000000,0
rn,pooled,71,18.302333,0.688333,310.000000,402.000000,0
rn,pooled,72,12.917000,0.086667,3000.000000,885.000000,1
rn,pooled,73,18.581667,0.717667,261.000000,447.000000,0
rn,pooled,74,17.250667,0.429667,472.000000,537.000000,0
rn,pooled,75,17.310333,0.626000,246.000000,292.000000,0
rn,pooled,76,18.285333,0.511333,509.000000,466.000000,0
rn,pooled,77,16.382333,0.425333,268.000000,350.000000,0
rn,pooled,78,19.456667,0.888333,138.000000,235.000000,0
rn,pooled,79,18.697000,0.786667,279.000000,342.000000,0
rn,pooled,80,17.954333,0.563333,391.000000,396.000000,0
rn,pooled,81,17.827000,0.549000,432.000000,481.000000,0
rn,pooled,82,16.992333,0.473667,690.000000,592.000000,0
rn,pooled,83,14.610333,0.223000,1098.000000,633.000000,0
rn,pooled,84,17.355333,0.607667,662.000000,795.000000,0
rn,pooled,85,17.602333,0.426667,432.000000,396.000000,0
rn,pooled,86,19.170000,0.856333,212.000000,277.000000,0
rn,pooled,87,18.976667,0.833667,240.000000,322.000000,0
rn,pooled,88,18.591667,0.658000,363.000000,432.000000,0
rn,pooled,89,18.780000,0.722333,358.000000,397.000000,0
rn,pooled,90,15.871000,0.337667,1072.000000,465.000000,0
rn,pooled,91,11.039000,0.044000,3000.000000,693.000000,1
