arm,seed,success,foods,episodes,converged,onset
wt_pathway,1,10.0,4.034666666666666,3000,,
wt_pathway,2,1.7333333333333332,2.3986666666666667,3000,True,1
wt_pathway,3,15.333333333333332,4.653333333333333,3000,,
wt_pathway,4,24.266666666666666,5.457333333333334,3000,,
wt_pathway,5,4.3999999999999995,3.0653333333333332,3000,True,1
wt_pathway,6,13.466666666666665,4.252,3000,,
wt_pathway,7,4.533333333333333,2.9466666666666668,3000,True,1
wt_pathway,8,1.2,2.2386666666666666,3000,True,1
wt_pathway,9,8.533333333333333,4.1626666666666665,3000,,
wt_pathway,10,1.0666666666666667,2.408,3000,True,1
wt_pathway,11,1.866666666666667,2.484,3000,True,1
wt_pathway,12,19.333333333333332,5.025333333333333,3000,,
wt_pathway,13,0.6666666666666667,2.533333333333333,3000,True,1
wt_pathway,14,11.200000000000001,4.1,3000,True,1
wt_pathway,15,2.4,2.8893333333333335,3000,True,1
wt_pathway,16,2.666666666666667,2.9053333333333335,3000,True,1
rn_pathway,1,14.666666666666666,4.942666666666667,3000,,
rn_pathway,2,0.5333333333333333,2.16,3000,,
rn_pathway,3,2.533333333333333,2.6866666666666665,3000,,
rn_pathway,4,3.5999999999999996,2.8866666666666667,3000,,
rn_pathway,5,4.8,3.228,3000,,
rn_pathway,6,0.0,1.0266666666666666,3000,,
rn_pathway,7,8.266666666666666,3.582666666666667,3000,,
rn_pathway,8,0.13333333333333333,2.5613333333333332,3000,,
rn_pathway,9,0.9333333333333335,2.2946666666666666,3000,,
rn_pathway,10,33.06666666666666,6.158666666666667,3000,True,1834
rn_pathway,11,3.8666666666666667,2.5453333333333332,3000,True,1
rn_pathway,12,0.0,0.45066666666666666,3000,True,1
rn_pathway,13,2.4,3.014666666666667,3000,True,1
rn_pathway,14,12.533333333333333,4.386666666666667,3000,True,1406
rn_pathway,15,19.6,5.314666666666667,3000,True,1360
rn_pathway,16,1.7333333333333332,2.502666666666667,3000,True,1
wt_global,1,0.0,0.050666666666666665,3000,True,1
wt_global,2,70.53333333333333,8.717333333333332,3000,True,520
wt_global,3,28.355555555555554,5.7555555555555555,4500,True,3860
wt_global,4,1.866666666666667,2.476,3000,True,1
wt_global,5,27.46666666666667,5.985333333333333,3000,True,306
wt_global,6,9.2,4.236,3000,True,1
wt_global,7,0.6666666666666667,1.7253333333333334,3000,True,1
wt_global,8,4.533333333333333,3.2666666666666666,3000,True,1
wt_global,9,1.4666666666666666,2.504,3000,True,1
wt_global,10,6.666666666666667,3.8653333333333335,3000,True,1
wt_global,11,0.9333333333333335,2.2573333333333334,3000,True,1
wt_global,12,0.9333333333333335,2.308,3000,True,1
wt_global,13,1.4666666666666666,2.1786666666666665,3000,True,1
wt_global,14,0.9333333333333335,1.848,3000,True,1
wt_global,15,13.866666666666665,4.753333333333333,3000,True,20
wt_global,16,4.666666666666667,2.948,3000,True,1
rn_global,1,13.600000000000001,4.774666666666667,3000,True,1
rn_global,2,6.266666666666667,3.256,3000,True,1
rn_global,3,7.066666666666667,3.808,3000,True,1
rn_global,4,2.1333333333333333,2.497333333333333,3000,True,1
rn_global,5,2.0,2.4426666666666668,3000,True,1
rn_global,6,46.93333333333333,7.169333333333333,3000,True,102
rn_global,7,0.26666666666666666,1.5426666666666666,3000,True,1
rn_global,8,11.333333333333332,4.38,3000,True,1
rn_global,9,0.13333333333333333,1.268,3000,True,1
rn_global,10,37.2,6.518666666666666,3000,True,1126
rn_global,11,3.3333333333333335,2.8946666666666667,3000,True,1
rn_global,12,5.733333333333333,3.441333333333333,3000,True,1
rn_global,13,5.6000000000000005,3.1986666666666665,3000,True,1
rn_global,14,28.26666666666667,6.225333333333333,3000,True,1497
rn_global,15,52.93333333333333,7.725333333333333,3000,True,93
rn_global,16,2.666666666666667,2.64,3000,True,1
