half,seed,full_wt_plateau,full_wt_floor,full_rn_plateau,full_rn_floor,full_gap_auc_success,full_gap_episodes_to_30pct_success,chemical_wt_plateau,chemical_wt_floor,chemical_rn_plateau,chemical_rn_floor,chemical_gap_auc_success,chemical_gap_episodes_to_30pct_success,interaction_auc_success,interaction_episodes_to_30pct_success
reading,345,59.600000,0.000000,33.466667,0.000000,0.370667,1448.000000,59.600000,0.000000,69.733333,0.000000,-0.078000,-77.000000,-0.448667,-1525.000000
reading,346,52.533333,0.000000,58.666667,0.000000,-0.112000,-53.000000,52.533333,0.000000,9.333333,0.000000,0.375667,2467.000000,0.487667,2520.000000
reading,347,15.866667,0.000000,58.933333,0.000000,-0.313333,-2719.000000,15.866667,0.000000,53.466667,0.000000,-0.472333,-2845.000000,-0.159000,-126.000000
reading,348,30.666667,0.000000,67.600000,0.000000,-0.324333,-1225.000000,30.666667,0.000000,79.200000,0.000000,-0.355000,-1141.000000,-0.030667,84.000000
reading,349,74.000000,0.000000,20.266667,0.000000,0.453667,1017.000000,74.000000,0.000000,50.533333,0.000000,0.311667,790.000000,-0.142000,-227.000000
reading,350,40.800000,0.000000,23.866667,0.000000,0.148000,2174.000000,40.800000,0.000000,78.266667,0.000000,-0.359000,-235.000000,-0.507000,-2409.000000
reading,351,76.800000,0.000000,87.466667,0.000000,-0.151000,-126.000000,76.800000,0.000000,88.800000,0.000000,-0.117667,-101.000000,0.033333,25.000000
reading,352,64.133333,0.000000,43.466667,0.000000,0.164667,126.000000,64.133333,0.000000,86.266667,0.000000,-0.213667,68.000000,-0.378333,-58.000000
reading,353,11.600000,0.000000,27.866667,0.000000,-0.171667,-2100.000000,11.600000,0.000000,60.133333,0.000000,-0.345667,-2227.000000,-0.174000,-127.000000
reading,354,41.066667,0.000000,48.933333,0.000000,-0.139333,-1493.000000,41.066667,0.000000,56.666667,0.000000,-0.254333,-1801.000000,-0.115000,-308.000000
reading,355,15.733333,0.000000,12.933333,0.000000,0.088667,1431.000000,15.733333,0.000000,84.533333,0.000000,-0.533000,-1247.000000,-0.621667,-2678.000000
reading,356,72.133333,0.000000,86.533333,0.000000,-0.192333,-103.000000,72.133333,0.000000,64.400000,0.000000,-0.071333,-161.000000,0.121000,-58.000000
reading,357,41.733333,0.000000,95.066667,0.000000,-0.524000,-577.000000,41.733333,0.000000,90.666667,0.000000,-0.480000,-659.000000,0.044000,-82.000000
reading,358,44.666667,0.000000,62.133333,0.000000,-0.095333,13.000000,44.666667,0.000000,61.600000,0.000000,-0.217667,-325.000000,-0.122333,-338.000000
reading,359,53.600000,0.000000,7.066667,0.000000,0.390667,2503.000000,53.600000,0.000000,20.933333,0.000000,0.281000,2503.000000,-0.109667,0.000000
reading,360,5.600000,0.000000,32.133333,0.000000,-0.210333,-2098.000000,5.600000,0.000000,82.666667,0.000000,-0.663000,-2688.000000,-0.452667,-590.000000
reading,361,32.933333,0.000000,88.266667,0.000000,-0.601000,-1344.000000,32.933333,0.000000,71.466667,0.000000,-0.424000,-1120.000000,0.177000,224.000000
reading,362,29.866667,0.000000,22.400000,0.000000,0.012333,-190.000000,29.866667,0.000000,63.333333,0.000000,-0.267333,-1322.000000,-0.279667,-1132.000000
reading,363,19.733333,0.000000,65.866667,0.000000,-0.477000,-2649.000000,19.733333,0.000000,39.333333,0.000000,-0.152333,-1889.000000,0.324667,760.000000
reading,364,80.666667,0.000000,68.000000,0.000000,0.017333,-21.000000,80.666667,0.000000,54.666667,0.000000,0.211667,190.000000,0.194333,211.000000
reading,365,18.000000,0.000000,72.266667,2.666667,-0.464333,-1518.000000,18.000000,0.000000,82.000000,2.266667,-0.708000,-1775.000000,-0.243667,-257.000000
reading,366,52.000000,0.000000,50.666667,0.000000,-0.031667,-187.000000,52.000000,0.000000,95.066667,0.000000,-0.427333,-395.000000,-0.395667,-208.000000
reading,367,72.000000,0.000000,10.000000,0.000000,0.561667,2635.000000,72.000000,0.000000,17.733333,0.000000,0.470333,2635.000000,-0.091333,0.000000
reading,368,75.466667,0.000000,51.733333,0.000000,0.271667,565.000000,75.466667,0.000000,71.600000,0.000000,0.069333,38.000000,-0.202333,-527.000000
reading,369,94.400000,0.000000,69.333333,0.000000,0.237667,185.000000,94.400000,0.000000,53.466667,0.000000,0.423000,386.000000,0.185333,201.000000
reading,370,58.800000,0.000000,55.600000,0.000000,0.067667,353.000000,58.800000,0.000000,65.733333,0.000000,-0.089000,-190.000000,-0.156667,-543.000000
reading,371,37.733333,0.000000,79.600000,3.333333,-0.431333,-700.000000,37.733333,0.000000,87.333333,0.000000,-0.455000,-712.000000,-0.023667,-12.000000
reading,372,91.600000,0.000000,50.800000,0.000000,0.464000,289.000000,91.600000,0.000000,23.466667,0.000000,0.626667,912.000000,0.162667,623.000000
reading,373,33.600000,0.000000,80.800000,0.000000,-0.368333,-537.000000,33.600000,0.000000,55.200000,0.000000,-0.300333,-556.000000,0.068000,-19.000000
reading,374,16.533333,0.000000,46.000000,0.000000,-0.274333,-2474.000000,16.533333,0.000000,45.600000,0.400000,-0.278333,-2470.000000,-0.004000,4.000000
reading,375,48.266667,0.000000,4.000000,0.000000,0.379000,2401.000000,48.266667,0.000000,61.466667,0.000000,0.042333,750.000000,-0.336667,-1651.000000
reading,376,2.400000,0.000000,35.066667,0.000000,-0.239333,-1739.000000,2.400000,0.000000,71.733333,0.000000,-0.607333,-2675.000000,-0.368000,-936.000000
reading,377,34.400000,0.000000,40.533333,0.000000,0.012333,-204.000000,34.400000,0.000000,53.866667,0.000000,-0.176667,-644.000000,-0.189000,-440.000000
reading,378,26.533333,0.000000,52.000000,0.000000,-0.246000,-1251.000000,26.533333,0.000000,84.133333,0.000000,-0.614333,-1460.000000,-0.368333,-209.000000
reading,379,65.600000,0.000000,67.466667,0.000000,0.070667,370.000000,65.600000,0.000000,18.533333,0.000000,0.418000,2629.000000,0.347333,2259.000000
reading,380,48.533333,0.000000,21.200000,0.000000,0.154333,2338.000000,48.533333,0.000000,6.533333,0.000000,0.279333,2338.000000,0.125000,0.000000
reading,381,72.533333,0.000000,93.466667,0.000000,-0.234000,-85.000000,72.533333,0.000000,91.333333,0.000000,-0.163667,22.000000,0.070333,107.000000
reading,382,46.933333,0.000000,66.800000,0.000000,-0.189333,-309.000000,46.933333,0.000000,50.533333,0.000000,-0.053333,-106.000000,0.136000,203.000000
reading,383,36.133333,0.000000,45.466667,0.000000,-0.055000,78.000000,36.133333,0.000000,30.400000,0.133333,0.061333,834.000000,0.116333,756.000000
reading,384,45.466667,0.000000,44.933333,0.000000,0.033667,931.000000,45.466667,0.000000,87.333333,0.000000,-0.532333,45.000000,-0.566000,-886.000000
