half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
ppo,d3,forward_pass_depth,auc_success,False,169,-0.005333,-0.104000
ppo,d3,forward_pass_depth,auc_success,False,170,-0.042333,-0.014000
ppo,d3,forward_pass_depth,auc_success,False,171,0.001667,0.034667
ppo,d3,forward_pass_depth,auc_success,False,172,0.085667,0.081667
ppo,d3,forward_pass_depth,auc_success,False,173,0.020667,-0.022667
ppo,d3,forward_pass_depth,auc_success,False,174,-0.025667,-0.033333
ppo,d3,forward_pass_depth,auc_success,False,175,-0.114333,-0.194333
ppo,d3,forward_pass_depth,auc_success,False,176,0.031333,-0.054667
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,161,-149.000000,-1459.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,162,-830.000000,-2179.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,163,-94.000000,-1118.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,164,104.000000,512.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,165,1144.000000,1109.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,166,336.000000,-836.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,167,896.000000,899.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,168,-164.000000,-1204.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,169,-1013.000000,-1946.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,170,-209.000000,-118.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,171,-35.000000,-61.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,172,125.000000,-57.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,173,141.000000,-1070.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,174,-1007.000000,-2058.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,175,-972.000000,-613.000000
ppo,d3,forward_pass_depth,episodes_to_30pct_success,True,176,-930.000000,-1040.000000
ppo,d6,forward_pass_depth,auc_success,False,161,0.064333,-0.130667
ppo,d6,forward_pass_depth,auc_success,False,162,0.138667,-0.033667
ppo,d6,forward_pass_depth,auc_success,False,163,0.042667,-0.032667
ppo,d6,forward_pass_depth,auc_success,False,164,0.005333,0.034000
ppo,d6,forward_pass_depth,auc_success,False,165,0.020333,0.013333
ppo,d6,forward_pass_depth,auc_success,False,166,0.167667,0.062333
ppo,d6,forward_pass_depth,auc_success,False,167,0.183000,0.159333
ppo,d6,forward_pass_depth,auc_success,False,168,0.011667,-0.105333
ppo,d6,forward_pass_depth,auc_success,False,169,0.045333,-0.053333
ppo,d6,forward_pass_depth,auc_success,False,170,0.007333,0.035667
ppo,d6,forward_pass_depth,auc_success,False,171,-0.045333,-0.012333
ppo,d6,forward_pass_depth,auc_success,False,172,-0.010667,-0.014667
ppo,d6,forward_pass_depth,auc_success,False,173,0.072000,0.028667
ppo,d6,forward_pass_depth,auc_success,False,174,0.055667,0.048000
ppo,d6,forward_pass_depth,auc_success,False,175,0.077000,-0.003000
ppo,d6,forward_pass_depth,auc_success,False,176,0.028333,-0.057667
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,161,243.000000,-1067.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,162,1473.000000,124.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,163,-79.000000,-1103.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,164,-35.000000,373.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,165,172.000000,137.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,166,1280.000000,108.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,167,737.000000,740.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,168,-37.000000,-1077.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,169,1075.000000,142.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,170,-671.000000,-580.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,171,65.000000,39.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,172,23.000000,-159.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,173,1087.000000,-124.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,174,-3.000000,-1054.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,175,1222.000000,1581.000000
ppo,d6,forward_pass_depth,episodes_to_30pct_success,True,176,49.000000,-61.000000
ppo,lsm10,initial_log_std,auc_success,False,161,0.071333,-0.123667
ppo,lsm10,initial_log_std,auc_success,False,162,0.082000,-0.090333
ppo,lsm10,initial_log_std,auc_success,False,163,0.073333,-0.002000
ppo,lsm10,initial_log_std,auc_success,False,164,-0.056000,-0.027333
ppo,lsm10,initial_log_std,auc_success,False,165,0.128000,0.121000
ppo,lsm10,initial_log_std,auc_success,False,166,-0.005333,-0.110667
ppo,lsm10,initial_log_std,auc_success,False,167,0.170667,0.147000
ppo,lsm10,initial_log_std,auc_success,False,168,0.162333,0.045333
ppo,lsm10,initial_log_std,auc_success,False,169,0.068000,-0.030667
ppo,lsm10,initial_log_std,auc_success,False,170,-0.033000,-0.004667
ppo,lsm10,initial_log_std,auc_success,False,171,0.001000,0.034000
ppo,lsm10,initial_log_std,auc_success,False,172,0.031333,0.027333
ppo,lsm10,initial_log_std,auc_success,False,173,0.163667,0.120333
ppo,lsm10,initial_log_std,auc_success,False,174,0.049333,0.041667
ppo,lsm10,initial_log_std,auc_success,False,175,0.141000,0.061000
ppo,lsm10,initial_log_std,auc_success,False,176,-0.013667,-0.099667
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,161,319.000000,-991.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,162,1362.000000,13.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,163,869.000000,-155.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,164,-159.000000,249.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,165,1339.000000,1304.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,166,-119.000000,-1291.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,167,1440.000000,1443.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,168,79.000000,-961.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,169,-494.000000,-1427.000000
ppo,lsm10,initial_log_std,episodes_to_30pct_success,True,170,-483.000000,-392.000000
