half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
reading,d3,forward_pass_depth,auc_success,True,188,-0.174333,-0.085000
reading,d3,forward_pass_depth,auc_success,True,189,-0.035667,-0.084667
reading,d3,forward_pass_depth,auc_success,True,190,-0.293333,-0.417667
reading,d3,forward_pass_depth,auc_success,True,191,-0.275000,0.023000
reading,d3,forward_pass_depth,auc_success,True,192,-0.221667,-0.132667
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,177,-2517.000000,-2393.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,178,-2469.000000,182.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,179,-2738.000000,-39.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,180,-2337.000000,-2426.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,181,-2740.000000,-4446.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,182,-2756.000000,-413.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,183,-124.000000,577.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,184,-2618.000000,-2550.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,185,-2747.000000,34.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,186,-2757.000000,-2633.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,187,-0.000000,1893.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,188,-0.000000,695.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,189,-0.000000,-63.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,190,-464.000000,-1917.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,191,-2238.000000,-2072.000000
reading,d3,forward_pass_depth,episodes_to_30pct_success,False,192,-1780.000000,-1417.000000
reading,d6,forward_pass_depth,auc_success,True,177,-0.234333,0.102333
reading,d6,forward_pass_depth,auc_success,True,178,-0.309667,0.003000
reading,d6,forward_pass_depth,auc_success,True,179,-0.037000,0.585333
reading,d6,forward_pass_depth,auc_success,True,180,-0.018667,0.054667
