arm,seed,window_end,success
wt_frozen,1,250,36.00
wt_frozen,1,500,42.00
wt_frozen,1,750,32.00
wt_frozen,2,250,0.80
wt_frozen,2,500,0.40
wt_frozen,2,750,1.00
wt_frozen,3,250,6.80
wt_frozen,3,500,6.40
wt_frozen,3,750,6.00
wt_frozen,4,250,15.20
wt_frozen,4,500,14.80
wt_frozen,4,750,11.00
wt_frozen,5,250,2.80
wt_frozen,5,500,0.40
wt_frozen,5,750,1.00
wt_frozen,6,250,0.40
wt_frozen,6,500,0.80
wt_frozen,6,750,0.00
wt_frozen,7,250,3.60
wt_frozen,7,500,3.20
wt_frozen,7,750,3.00
wt_frozen,8,250,0.40
wt_frozen,8,500,0.40
wt_frozen,8,750,2.00
wt_frozen,9,250,1.20
wt_frozen,9,500,0.80
wt_frozen,9,750,1.00
wt_frozen,10,250,1.20
wt_frozen,10,500,1.60
wt_frozen,10,750,2.00
wt_frozen,11,250,7.60
wt_frozen,11,500,8.80
wt_frozen,11,750,11.00
wt_frozen,12,250,1.20
wt_frozen,12,500,2.00
wt_frozen,12,750,0.00
wt_frozen,13,250,8.80
wt_frozen,13,500,9.60
wt_frozen,13,750,8.00
wt_frozen,14,250,2.00
wt_frozen,14,500,5.20
wt_frozen,14,750,3.00
wt_frozen,15,250,6.00
wt_frozen,15,500,5.20
wt_frozen,15,750,4.00
wt_frozen,16,250,2.80
wt_frozen,16,500,3.20
wt_frozen,16,750,2.00
wt_frozen,17,250,71.20
wt_frozen,17,500,68.00
wt_frozen,17,750,76.00
wt_frozen,18,250,2.80
wt_frozen,18,500,2.80
wt_frozen,18,750,6.00
wt_frozen,19,250,0.00
wt_frozen,19,500,0.00
wt_frozen,19,750,0.00
wt_frozen,20,250,1.20
wt_frozen,20,500,1.20
wt_frozen,20,750,0.00
wt_frozen,21,250,34.80
wt_frozen,21,500,41.20
wt_frozen,21,750,40.00
wt_frozen,22,250,1.20
wt_frozen,22,500,2.40
wt_frozen,22,750,2.00
wt_frozen,23,250,0.40
wt_frozen,23,500,1.60
wt_frozen,23,750,1.00
wt_frozen,24,250,35.60
wt_frozen,24,500,36.80
wt_frozen,24,750,31.00
wt_frozen,25,250,25.60
wt_frozen,25,500,26.00
wt_frozen,25,750,24.00
wt_frozen,26,250,2.00
wt_frozen,26,500,2.00
wt_frozen,26,750,4.00
wt_frozen,27,250,2.40
wt_frozen,27,500,2.80
wt_frozen,27,750,3.00
wt_frozen,28,250,11.60
wt_frozen,28,500,15.60
wt_frozen,28,750,15.00
wt_frozen,29,250,30.40
wt_frozen,29,500,24.80
wt_frozen,29,750,23.00
wt_frozen,30,250,2.80
wt_frozen,30,500,2.00
wt_frozen,30,750,1.00
wt_frozen,31,250,2.80
wt_frozen,31,500,0.80
wt_frozen,31,750,1.00
wt_frozen,32,250,1.20
wt_frozen,32,500,0.40
wt_frozen,32,750,1.00
wt_frozen,33,250,2.40
wt_frozen,33,500,2.00
wt_frozen,33,750,2.00
wt_frozen,34,250,4.00
wt_frozen,34,500,4.00
wt_frozen,34,750,5.00
wt_frozen,35,250,42.40
wt_frozen,35,500,40.80
wt_frozen,35,750,43.00
wt_frozen,36,250,4.80
wt_frozen,36,500,3.20
wt_frozen,36,750,2.00
wt_frozen,37,250,7.60
wt_frozen,37,500,6.80
wt_frozen,37,750,8.00
wt_frozen,38,250,1.60
wt_frozen,38,500,0.40
wt_frozen,38,750,3.00
wt_frozen,39,250,39.20
wt_frozen,39,500,36.80
wt_frozen,39,750,37.00
wt_frozen,40,250,1.60
wt_frozen,40,500,1.20
wt_frozen,40,750,2.00
wt_frozen,41,250,2.00
wt_frozen,41,500,4.00
wt_frozen,41,750,2.00
wt_frozen,42,250,1.60
wt_frozen,42,500,0.80
wt_frozen,42,750,0.00
wt_frozen,43,250,2.80
wt_frozen,43,500,1.60
wt_frozen,43,750,2.00
wt_frozen,44,250,54.40
wt_frozen,44,500,48.80
wt_frozen,44,750,49.00
wt_frozen,45,250,18.00
wt_frozen,45,500,12.80
wt_frozen,45,750,16.00
wt_frozen,46,250,30.40
wt_frozen,46,500,25.60
wt_frozen,46,750,34.00
wt_frozen,47,250,6.80
wt_frozen,47,500,4.40
wt_frozen,47,750,2.00
wt_frozen,48,250,1.60
wt_frozen,48,500,3.20
