condition,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
atlas,rn,4,18.669333,0.827667,200.000000,261.000000,0
atlas,rn,5,15.966667,0.361333,507.000000,469.000000,0
atlas,rn,6,18.629667,0.787667,42.000000,76.000000,0
atlas,rn,7,19.115333,0.827333,193.000000,245.000000,0
atlas,rn,8,17.249000,0.522000,343.000000,398.000000,0
atlas,rn,9,18.628000,0.735000,269.000000,428.000000,0
atlas,rn,10,17.890667,0.677333,461.000000,488.000000,0
atlas,rn,11,18.720667,0.799667,163.000000,225.000000,0
atlas,rn,12,14.853667,0.337333,977.000000,953.000000,0
atlas,rn,13,19.303333,0.803667,213.000000,271.000000,0
atlas,rn,14,19.585333,0.915333,48.000000,110.000000,0
atlas,rn,15,14.170333,0.374333,819.000000,327.000000,0
atlas,rn,16,19.515000,0.892667,158.000000,234.000000,0
atlas,rn,17,19.114333,0.834667,125.000000,232.000000,0
atlas,rn,18,19.473667,0.878000,113.000000,223.000000,0
atlas,rn,19,17.831000,0.647333,221.000000,301.000000,0
atlas,rn,20,19.084667,0.877333,99.000000,239.000000,0
atlas,rn,21,14.884000,0.343000,1247.000000,636.000000,0
atlas,rn,22,19.513667,0.898000,76.000000,152.000000,0
atlas,rn,23,18.210000,0.727333,152.000000,395.000000,0
atlas,rn,24,17.965667,0.649333,250.000000,369.000000,0
atlas,rn,25,18.499333,0.766667,380.000000,645.000000,0
atlas,rn,26,19.185667,0.851000,100.000000,213.000000,0
atlas,rn,27,19.625667,0.935667,25.000000,121.000000,0
atlas,rn,28,16.438000,0.548000,217.000000,97.000000,0
atlas,rn,29,19.176667,0.786000,206.000000,230.000000,0
atlas,rn,30,18.810333,0.716333,215.000000,247.000000,0
atlas,rn,31,19.044000,0.855333,196.000000,260.000000,0
atlas,rn,32,17.770333,0.715333,12.000000,206.000000,0
atlas,rn,33,18.784333,0.727000,230.000000,280.000000,0
atlas,rn,34,17.750667,0.698000,92.000000,113.000000,0
atlas,rn,35,17.023667,0.452000,756.000000,1155.000000,0
atlas,rn,36,17.574000,0.682000,356.000000,429.000000,0
atlas,rn,37,13.586667,0.089667,3000.000000,381.000000,1
atlas,rn,38,16.775333,0.515000,221.000000,204.000000,0
atlas,rn,39,18.387667,0.616667,394.000000,431.000000,0
atlas,rn,40,18.061667,0.629000,451.000000,561.000000,0
atlas,rn,41,17.860667,0.651333,589.000000,615.000000,0
atlas,rn,42,16.854333,0.538333,595.000000,650.000000,0
atlas,rn,43,18.690667,0.755000,3.000000,220.000000,0
atlas,rn,44,18.949333,0.805000,150.000000,230.000000,0
atlas,rn,45,16.905000,0.630000,284.000000,298.000000,0
atlas,rn,46,17.858333,0.652333,361.000000,405.000000,0
atlas,rn,47,18.403333,0.761667,120.000000,222.000000,0
atlas,rn,48,18.928000,0.804333,79.000000,216.000000,0
atlas,rn,49,19.272333,0.835000,159.000000,234.000000,0
atlas,rn,50,17.859667,0.641667,350.000000,342.000000,0
atlas,rn,51,19.633667,0.911000,55.000000,202.000000,0
atlas,rn,52,16.105333,0.547000,305.000000,371.000000,0
atlas,rn,53,19.491333,0.876333,70.000000,210.000000,0
atlas,rn,54,15.749667,0.522000,380.000000,771.000000,0
atlas,rn,55,18.284000,0.762000,361.000000,413.000000,0
atlas,rn,56,18.200333,0.648000,352.000000,601.000000,0
atlas,rn,57,17.536000,0.520333,546.000000,484.000000,0
atlas,rn,58,17.555000,0.456667,449.000000,441.000000,0
atlas,rn,59,8.371000,0.159333,626.000000,525.000000,0
atlas,rn,60,18.761333,0.805000,63.000000,206.000000,0
atlas,rn,61,19.201000,0.818667,98.000000,205.000000,0
atlas,rn,62,18.345000,0.742667,55.000000,202.000000,0
atlas,rn,63,19.052667,0.843333,235.000000,303.000000,0
atlas,rn,64,18.697333,0.788000,120.000000,112.000000,0
atlas,rn,65,17.941333,0.738000,6.000000,228.000000,0
atlas,rn,66,18.836667,0.778333,308.000000,464.000000,0
atlas,rn,67,16.606333,0.335667,866.000000,333.000000,0
atlas,rn,68,19.130000,0.845667,116.000000,223.000000,0
atlas,rn,69,10.531333,0.040333,3000.000000,3.000000,1
atlas,rn,70,18.827333,0.787333,212.000000,267.000000,0
atlas,rn,71,16.533333,0.514667,263.000000,285.000000,0
atlas,rn,72,16.490667,0.437333,675.000000,605.000000,0
atlas,rn,73,19.089667,0.839333,192.000000,227.000000,0
atlas,rn,74,17.121333,0.623667,227.000000,235.000000,0
atlas,rn,75,17.853333,0.653333,205.000000,276.000000,0
atlas,rn,76,15.869667,0.380000,811.000000,775.000000,0
atlas,rn,77,5.355000,0.009000,3000.000000,1408.000000,1
atlas,rn,78,19.601667,0.908333,20.000000,198.000000,0
atlas,rn,79,18.079667,0.702000,360.000000,532.000000,0
atlas,rn,80,15.944333,0.299333,1115.000000,730.000000,0
atlas,rn,81,17.606333,0.582333,339.000000,308.000000,0
atlas,rn,82,18.261667,0.724000,308.000000,408.000000,0
atlas,rn,83,19.226667,0.842667,162.000000,241.000000,0
atlas,rn,84,19.463000,0.899333,199.000000,256.000000,0
atlas,rn,85,16.790667,0.600333,619.000000,773.000000,0
atlas,rn,86,19.512333,0.903333,58.000000,114.000000,0
atlas,rn,87,18.548333,0.745333,129.000000,215.000000,0
atlas,rn,88,19.252667,0.854667,59.000000,430.000000,0
atlas,rn,89,18.412333,0.686000,324.000000,394.000000,0
atlas,rn,90,15.132000,0.425667,264.000000,210.000000,0
atlas,rn,91,17.106333,0.456000,652.000000,550.000000,0
