run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1277,mlpppo_small_5agents_mixed_phenotype_oracle,47,5,1155,0,0.8000,0.0511,1155,0.8094,0,0,0.0517,0.0000
1278,mlpppo_small_5agents_mixed_phenotype_oracle,50,9,1062,0,1.0000,0.0000,1066,0.8262,0,0,0.0841,0.0000
1279,mlpppo_small_5agents_mixed_phenotype_oracle,45,5,1194,0,0.6000,0.0711,1196,0.8649,0,0,0.0817,0.0000
1280,mlpppo_small_5agents_mixed_phenotype_oracle,48,4,1078,0,0.6000,0.0250,1079,0.8291,0,0,0.0722,0.0000
1281,mlpppo_small_5agents_mixed_phenotype_oracle,48,3,1012,0,0.8000,0.0333,1011,0.7802,0,0,0.0878,0.0000
1282,mlpppo_small_5agents_mixed_phenotype_oracle,43,3,1142,0,0.6000,0.1209,1141,0.8393,0,0,0.0865,0.0000
1283,mlpppo_small_5agents_mixed_phenotype_oracle,47,5,1102,0,0.6000,0.0426,1102,0.8145,0,0,0.0978,0.0000
1284,mlpppo_small_5agents_mixed_phenotype_oracle,50,6,981,0,1.0000,0.0000,983,0.7707,0,0,0.0866,0.0000
1285,mlpppo_small_5agents_mixed_phenotype_oracle,50,3,886,0,1.0000,0.0000,888,0.8101,0,0,0.1167,0.0000
1286,mlpppo_small_5agents_mixed_phenotype_oracle,45,6,1215,0,0.6000,0.0800,1217,0.8649,0,0,0.0882,0.0000
1287,mlpppo_small_5agents_mixed_phenotype_oracle,48,4,1221,0,0.6000,0.0250,1223,0.8161,0,0,0.0574,0.0000
1288,mlpppo_small_5agents_mixed_phenotype_oracle,46,6,1130,0,0.8000,0.0696,1130,0.8603,0,0,0.0353,0.0000
1289,mlpppo_small_5agents_mixed_phenotype_oracle,45,6,1103,0,0.6000,0.0711,1103,0.8364,0,0,0.0512,0.0000
1290,mlpppo_small_5agents_mixed_phenotype_oracle,50,0,718,0,1.0000,0.0000,718,0.7833,0,0,0.1072,0.0000
1291,mlpppo_small_5agents_mixed_phenotype_oracle,50,3,851,0,1.0000,0.0000,853,0.7704,0,0,0.0780,0.0000
1292,mlpppo_small_5agents_mixed_phenotype_oracle,46,8,1182,0,0.6000,0.0522,1182,0.8246,0,0,0.1328,0.0000
1293,mlpppo_small_5agents_mixed_phenotype_oracle,50,3,790,0,1.0000,0.0000,790,0.7678,0,0,0.0751,0.0000
1294,mlpppo_small_5agents_mixed_phenotype_oracle,44,6,1191,0,0.6000,0.0909,1189,0.8563,0,0,0.0293,0.0000
1295,mlpppo_small_5agents_mixed_phenotype_oracle,47,3,943,0,0.8000,0.0511,945,0.7862,0,0,0.1706,0.0000
1296,mlpppo_small_5agents_mixed_phenotype_oracle,48,5,1202,0,0.8000,0.0333,1203,0.8522,0,0,0.0625,0.0000
1297,mlpppo_small_5agents_mixed_phenotype_oracle,45,4,1144,0,0.8000,0.0889,1146,0.8476,0,0,0.0720,0.0000
1298,mlpppo_small_5agents_mixed_phenotype_oracle,47,6,950,0,0.8000,0.0511,950,0.8466,0,0,0.0434,0.0000
1299,mlpppo_small_5agents_mixed_phenotype_oracle,45,5,1276,0,0.4000,0.0622,1275,0.8422,0,0,0.0785,0.0000
1300,mlpppo_small_5agents_mixed_phenotype_oracle,46,1,1221,0,0.6000,0.0609,1223,0.8328,0,0,0.0510,0.0000
1301,mlpppo_small_5agents_mixed_phenotype_oracle,50,5,847,0,1.0000,0.0000,847,0.8220,0,0,0.0742,0.0000
1302,mlpppo_small_5agents_mixed_phenotype_oracle,49,5,948,0,0.8000,0.0163,947,0.8486,0,0,0.0841,0.0000
1303,mlpppo_small_5agents_mixed_phenotype_oracle,50,9,1011,0,1.0000,0.0000,1013,0.8350,0,0,0.0800,0.0000
1304,mlpppo_small_5agents_mixed_phenotype_oracle,50,2,801,0,1.0000,0.0000,805,0.7587,0,0,0.0771,0.0000
1305,mlpppo_small_5agents_mixed_phenotype_oracle,49,5,1063,0,0.8000,0.0163,1062,0.8604,0,0,0.0626,0.0000
1306,mlpppo_small_5agents_mixed_phenotype_oracle,48,4,1173,0,0.8000,0.0333,1173,0.8365,0,0,0.1015,0.0000
1307,mlpppo_small_5agents_mixed_phenotype_oracle,48,4,1040,0,0.8000,0.0333,1042,0.8487,0,0,0.0251,0.0000
