run,config_name,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1779,mlpppo_small_5agents_scarcity_social_oracle,22,8,1151,0,0.0000,0.4000,1153,0.9271,0,0,0.2961,0.0000
1780,mlpppo_small_5agents_scarcity_social_oracle,26,8,1172,0,0.0000,0.4000,1169,0.9099,0,0,0.3238,0.0000
1781,mlpppo_small_5agents_scarcity_social_oracle,25,7,1051,0,0.4000,0.4320,1051,0.9029,0,0,0.4412,0.0000
1782,mlpppo_small_5agents_scarcity_social_oracle,25,11,1193,0,0.0000,0.3200,1193,0.9301,0,0,0.2555,0.0000
1783,mlpppo_small_5agents_scarcity_social_oracle,26,7,1126,0,0.2000,0.4154,1128,0.9136,0,0,0.0353,0.0000
1784,mlpppo_small_5agents_scarcity_social_oracle,20,5,994,0,0.2000,0.4400,994,0.9123,0,0,0.4364,0.0000
1785,mlpppo_small_5agents_scarcity_social_oracle,23,5,860,0,0.4000,0.4696,860,0.8949,0,0,0.6121,0.0000
1786,mlpppo_small_5agents_scarcity_social_oracle,24,4,1045,0,0.2000,0.4667,1047,0.9162,0,0,0.3001,0.0000
1787,mlpppo_small_5agents_scarcity_social_oracle,28,9,1066,0,0.4000,0.3429,1066,0.9188,0,0,0.2132,0.0000
1788,mlpppo_small_5agents_scarcity_social_oracle,25,3,1044,0,0.4000,0.4480,1046,0.9063,0,0,0.0673,0.0000
1789,mlpppo_small_5agents_scarcity_social_oracle,22,8,1056,0,0.2000,0.5091,1058,0.9107,0,0,0.3392,0.0000
1790,mlpppo_small_5agents_scarcity_social_oracle,27,8,1163,0,0.2000,0.3852,1165,0.8977,0,0,0.4602,0.0000
1791,mlpppo_small_5agents_scarcity_social_oracle,30,5,1296,0,0.0000,0.2133,1298,0.9145,0,0,0.1642,0.0000
1792,mlpppo_small_5agents_scarcity_social_oracle,18,2,981,0,0.2000,0.4444,983,0.9101,0,0,0.4890,0.0000
1793,mlpppo_small_5agents_scarcity_social_oracle,23,8,1153,0,0.0000,0.3652,1153,0.9164,0,0,0.4236,0.0000
1794,mlpppo_small_5agents_scarcity_social_oracle,24,7,1001,0,0.4000,0.4833,1001,0.9039,0,0,0.3578,0.0000
1795,mlpppo_small_5agents_scarcity_social_oracle,22,5,787,0,0.4000,0.5273,789,0.8657,0,0,0.5075,0.0000
1796,mlpppo_small_5agents_scarcity_social_oracle,23,6,1044,0,0.2000,0.4870,1045,0.9200,0,0,0.2763,0.0000
1797,mlpppo_small_5agents_scarcity_social_oracle,27,8,1162,0,0.2000,0.3111,1163,0.9031,0,0,0.2346,0.0000
1798,mlpppo_small_5agents_scarcity_social_oracle,23,7,1049,0,0.2000,0.3130,1051,0.9044,0,0,0.1034,0.0000
1799,mlpppo_small_5agents_scarcity_social_oracle,25,7,1111,0,0.2000,0.4160,1112,0.9095,0,0,0.2315,0.0000
1800,mlpppo_small_5agents_scarcity_social_oracle,21,4,971,0,0.2000,0.5333,970,0.9169,0,0,0.5014,0.0000
1801,mlpppo_small_5agents_scarcity_social_oracle,28,10,1112,0,0.2000,0.3857,1112,0.9092,0,0,0.2059,0.0000
1802,mlpppo_small_5agents_scarcity_social_oracle,24,11,1095,0,0.2000,0.4167,1098,0.9175,0,0,0.4639,0.0000
1803,mlpppo_small_5agents_scarcity_social_oracle,27,1,1030,0,0.2000,0.3556,1033,0.9072,0,0,0.2701,0.0000
1804,mlpppo_small_5agents_scarcity_social_oracle,23,4,945,0,0.2000,0.4522,946,0.9005,0,0,0.1707,0.0000
1805,mlpppo_small_5agents_scarcity_social_oracle,23,10,1103,0,0.0000,0.3304,1106,0.8842,0,0,0.2474,0.0000
1806,mlpppo_small_5agents_scarcity_social_oracle,24,7,1152,0,0.0000,0.2667,1152,0.9188,0,0,0.2353,0.0000
1807,mlpppo_small_5agents_scarcity_social_oracle,22,4,1088,0,0.0000,0.3818,1088,0.8991,0,0,0.5184,0.0000
1808,mlpppo_small_5agents_scarcity_social_oracle,28,4,1066,0,0.2000,0.3571,1066,0.8807,0,0,0.2579,0.0000
1809,mlpppo_small_5agents_scarcity_social_oracle,23,8,1063,0,0.2000,0.4000,1064,0.8923,0,0,0.4353,0.0000
1810,mlpppo_small_5agents_scarcity_social_oracle,27,7,1020,0,0.4000,0.4296,1020,0.8995,0,0,0.3102,0.0000
1811,mlpppo_small_5agents_scarcity_social_oracle,26,10,1075,0,0.4000,0.4462,1078,0.9314,0,0,0.2744,0.0000
1812,mlpppo_small_5agents_scarcity_social_oracle,21,5,1045,0,0.0000,0.3619,1047,0.8992,0,0,0.4077,0.0000
1813,mlpppo_small_5agents_scarcity_social_oracle,25,4,1160,0,0.2000,0.3040,1162,0.9000,0,0,0.1138,0.0000
1814,mlpppo_small_5agents_scarcity_social_oracle,20,5,1035,0,0.2000,0.5000,1037,0.9070,0,0,0.1077,0.0000
1815,mlpppo_small_5agents_scarcity_social_oracle,24,7,1005,0,0.2000,0.4500,1009,0.9309,0,0,0.2495,0.0000
1816,mlpppo_small_5agents_scarcity_social_oracle,19,3,1114,0,0.0000,0.3579,1112,0.8962,0,0,0.4284,0.0000
1817,mlpppo_small_5agents_scarcity_social_oracle,25,3,1105,0,0.2000,0.4320,1108,0.9295,0,0,0.2385,0.0000
1818,mlpppo_small_5agents_scarcity_social_oracle,24,6,1098,0,0.2000,0.4667,1101,0.9185,0,0,0.2978,0.0000
1819,mlpppo_small_5agents_scarcity_social_oracle,24,5,1031,0,0.2000,0.4500,1033,0.9248,0,0,0.1272,0.0000
1820,mlpppo_small_5agents_scarcity_social_oracle,20,8,1001,0,0.2000,0.4000,1001,0.9232,0,0,0.3405,0.0000
1821,mlpppo_small_5agents_scarcity_social_oracle,20,3,926,0,0.2000,0.4000,930,0.9162,0,0,0.4327,0.0000
1822,mlpppo_small_5agents_scarcity_social_oracle,21,11,1050,0,0.2000,0.4190,1050,0.9183,0,0,0.5428,0.0000
1823,mlpppo_small_5agents_scarcity_social_oracle,20,8,950,0,0.2000,0.4600,953,0.9088,0,0,0.0883,0.0000
1824,mlpppo_small_5agents_scarcity_social_oracle,24,10,1127,0,0.2000,0.3167,1129,0.9297,0,0,0.2165,0.0000
1825,mlpppo_small_5agents_scarcity_social_oracle,26,8,1085,0,0.2000,0.3846,1083,0.9219,0,0,0.0198,0.0000
1826,mlpppo_small_5agents_scarcity_social_oracle,22,8,1126,0,0.0000,0.4182,1129,0.9085,0,0,0.2559,0.0000
1827,mlpppo_small_5agents_scarcity_social_oracle,25,7,919,0,0.4000,0.4640,919,0.9122,0,0,0.3494,0.0000
1828,mlpppo_small_5agents_scarcity_social_oracle,25,7,1186,0,0.0000,0.3360,1189,0.9277,0,0,0.2852,0.0000
1829,mlpppo_small_5agents_scarcity_social_oracle,28,4,1252,0,0.0000,0.2286,1254,0.9157,0,0,0.1342,0.0000
1830,mlpppo_small_5agents_scarcity_social_oracle,21,4,1060,0,0.2000,0.3048,1062,0.9109,0,0,0.0969,0.0000
1831,mlpppo_small_5agents_scarcity_social_oracle,21,6,965,0,0.2000,0.3048,967,0.8985,0,0,0.2215,0.0000
1832,mlpppo_small_5agents_scarcity_social_oracle,22,3,1108,0,0.0000,0.3455,1107,0.9134,0,0,0.0571,0.0000
1833,mlpppo_small_5agents_scarcity_social_oracle,24,7,872,0,0.4000,0.4667,874,0.8891,0,0,0.1699,0.0000
1834,mlpppo_small_5agents_scarcity_social_oracle,21,1,885,0,0.2000,0.5333,886,0.8618,0,0,0.5174,0.0000
1835,mlpppo_small_5agents_scarcity_social_oracle,20,6,1140,0,0.0000,0.4400,1140,0.9382,0,0,0.2635,0.0000
1836,mlpppo_small_5agents_scarcity_social_oracle,25,9,945,0,0.4000,0.4480,945,0.9302,0,0,0.2245,0.0000
1837,mlpppo_small_5agents_scarcity_social_oracle,22,3,1063,0,0.2000,0.4727,1065,0.9131,0,0,0.2567,0.0000
1838,mlpppo_small_5agents_scarcity_social_oracle,23,6,1129,0,0.2000,0.3478,1131,0.9217,0,0,0.2718,0.0000
1839,mlpppo_small_5agents_scarcity_social_oracle,24,9,876,0,0.4000,0.4667,876,0.9203,0,0,0.1588,0.0000
1840,mlpppo_small_5agents_scarcity_social_oracle,25,10,1003,0,0.2000,0.4160,1003,0.9178,0,0,0.4388,0.0000
1841,mlpppo_small_5agents_scarcity_social_oracle,24,9,1030,0,0.2000,0.4000,1031,0.9080,0,0,0.3413,0.0000
1842,mlpppo_small_5agents_scarcity_social_oracle,21,4,1071,0,0.0000,0.4190,1071,0.9238,0,0,0.4447,0.0000
1843,mlpppo_small_5agents_scarcity_social_oracle,25,6,1105,0,0.0000,0.3360,1103,0.9266,0,0,0.2163,0.0000
1844,mlpppo_small_5agents_scarcity_social_oracle,22,11,977,0,0.2000,0.4909,977,0.9088,0,0,0.3062,0.0000
1845,mlpppo_small_5agents_scarcity_social_oracle,24,9,885,0,0.4000,0.4500,888,0.9101,0,0,0.4398,0.0000
1846,mlpppo_small_5agents_scarcity_social_oracle,17,7,875,0,0.2000,0.4235,878,0.8995,0,0,0.3902,0.0000
1847,mlpppo_small_5agents_scarcity_social_oracle,26,2,1204,0,0.0000,0.3385,1205,0.9022,0,0,0.1047,0.0000
1848,mlpppo_small_5agents_scarcity_social_oracle,23,8,981,0,0.4000,0.5043,985,0.9103,0,0,0.2861,0.0000
1849,mlpppo_small_5agents_scarcity_social_oracle,21,5,1114,0,0.0000,0.3619,1114,0.9200,0,0,0.3106,0.0000
1850,mlpppo_small_5agents_scarcity_social_oracle,25,8,1086,0,0.2000,0.3360,1090,0.9134,0,0,0.1295,0.0000
1851,mlpppo_small_5agents_scarcity_social_oracle,27,3,1190,0,0.2000,0.3111,1191,0.9069,0,0,0.1192,0.0000
1852,mlpppo_small_5agents_scarcity_social_oracle,28,4,1084,0,0.4000,0.3286,1084,0.8967,0,0,0.0473,0.0000
1853,mlpppo_small_5agents_scarcity_social_oracle,24,2,897,0,0.4000,0.4500,899,0.8603,0,0,0.5378,0.0000
1854,mlpppo_small_5agents_scarcity_social_oracle,22,3,997,0,0.2000,0.4727,1000,0.8837,0,0,0.2773,0.0000
1855,mlpppo_small_5agents_scarcity_social_oracle,24,3,1060,0,0.0000,0.3833,1058,0.8786,0,0,0.3418,0.0000
1856,mlpppo_small_5agents_scarcity_social_oracle,23,5,1052,0,0.0000,0.3304,1052,0.8799,0,0,0.2865,0.0000
1857,mlpppo_small_5agents_scarcity_social_oracle,23,4,1098,0,0.0000,0.3478,1100,0.9018,0,0,0.2669,0.0000
1858,mlpppo_small_5agents_scarcity_social_oracle,25,9,1164,0,0.0000,0.4000,1163,0.8923,0,0,0.2678,0.0000
1859,mlpppo_small_5agents_scarcity_social_oracle,25,2,1220,0,0.0000,0.2720,1220,0.9018,0,0,0.1992,0.0000
1860,mlpppo_small_5agents_scarcity_social_oracle,31,8,1179,0,0.4000,0.3097,1180,0.9252,0,0,0.0741,0.0000
1861,mlpppo_small_5agents_scarcity_social_oracle,23,4,959,0,0.2000,0.4174,962,0.9002,0,0,0.3305,0.0000
1862,mlpppo_small_5agents_scarcity_social_oracle,20,6,1007,0,0.2000,0.3600,1009,0.9154,0,0,0.3489,0.0000
1863,mlpppo_small_5agents_scarcity_social_oracle,23,7,1151,0,0.2000,0.3478,1153,0.9178,0,0,0.3085,0.0000
1864,mlpppo_small_5agents_scarcity_social_oracle,29,15,1111,0,0.4000,0.3724,1111,0.9316,0,0,0.0996,0.0000
1865,mlpppo_small_5agents_scarcity_social_oracle,23,2,967,0,0.4000,0.5043,969,0.9170,0,0,0.4686,0.0000
1866,mlpppo_small_5agents_scarcity_social_oracle,16,7,890,0,0.2000,0.5000,892,0.9102,0,0,0.1596,0.0000
1867,mlpppo_small_5agents_scarcity_social_oracle,26,6,1048,0,0.4000,0.4154,1052,0.9143,0,0,0.4138,0.0000
1868,mlpppo_small_5agents_scarcity_social_oracle,27,10,1282,0,0.2000,0.2815,1283,0.9230,0,0,0.0866,0.0000
1869,mlpppo_small_5agents_scarcity_social_oracle,21,10,1146,0,0.2000,0.4190,1148,0.9289,0,0,0.4467,0.0000
1870,mlpppo_small_5agents_scarcity_social_oracle,25,6,1192,0,0.0000,0.2880,1192,0.9157,0,0,0.0756,0.0000
