run,log_std_clamped_mean
1,0.037235844880342484
2,0.16842110455036163
3,0.187881737947464
4,0.23741751909255981
5,0.34272733330726624
6,0.38243648409843445
7,0.36822694540023804
8,0.5009667277336121
9,0.46519407629966736
10,0.7643832564353943
11,0.7670135498046875
12,0.7386139631271362
13,0.9055252075195312
14,0.7454975247383118
15,1.0053085088729858
16,1.2690024375915527
17,1.2818869352340698
18,1.3967424631118774
19,1.1867974996566772
20,1.3624979257583618
21,1.7906837463378906
22,1.43669855594635
23,1.0718839168548584
24,1.4740537405014038
25,1.6172038316726685
26,1.9111931324005127
27,1.6967693567276
28,1.9078783988952637
29,1.6334078311920166
30,1.5121220350265503
31,1.92702054977417
32,1.9936761856079102
33,1.9981343746185303
34,1.942758560180664
35,2.0
36,2.0
37,2.0
38,1.9586948156356812
39,1.633647084236145
40,2.0
41,1.9461086988449097
42,2.0
43,1.9533320665359497
44,1.8682174682617188
45,1.9889733791351318
46,1.9995038509368896
47,1.898024082183838
48,1.962085485458374
49,2.0
50,1.8642414808273315
51,1.9025142192840576
52,1.9586865901947021
53,1.9846062660217285
54,1.9642940759658813
55,1.9121458530426025
56,2.0
57,2.0
58,1.967882513999939
59,1.9709937572479248
60,1.9983034133911133
61,2.0
62,2.0
63,1.9955507516860962
64,1.9819588661193848
65,1.9771488904953003
66,2.0
67,2.0
68,2.0
69,2.0
70,1.9996849298477173
71,1.9868597984313965
72,1.9998259544372559
73,1.9999250173568726
74,1.99972665309906
75,1.9821429252624512
76,2.0
77,1.9930872917175293
78,2.0
79,1.9839345216751099
80,1.9801775217056274
81,1.989601492881775
82,1.9914625883102417
83,1.9864882230758667
84,2.0
85,1.9547454118728638
86,1.8346829414367676
87,1.9309085607528687
88,2.0
89,1.9653574228286743
90,1.994947910308838
91,1.9971898794174194
92,1.9835492372512817
93,1.91116464138031
94,1.9699803590774536
95,1.9917830228805542
96,1.9680973291397095
97,1.9989519119262695
98,1.989855408668518
99,2.0
100,2.0
101,2.0
102,2.0
103,2.0
104,1.956940770149231
105,1.9217365980148315
106,1.8827111721038818
107,1.9747567176818848
108,1.9587405920028687
109,1.9603867530822754
110,1.9753283262252808
111,1.9343183040618896
112,1.966926097869873
113,1.9701489210128784
114,1.9782670736312866
115,1.9640696048736572
116,1.9878212213516235
117,1.963153600692749
118,1.9603263139724731
119,1.9863287210464478
120,1.9234834909439087
121,1.949594259262085
122,1.970666527748108
123,2.0
124,1.8904834985733032
125,1.9614825248718262
126,1.9980098009109497
127,1.9103528261184692
128,1.9400602579116821
129,1.9390716552734375
130,1.9809901714324951
131,1.943994164466858
132,1.9924675226211548
133,1.9614309072494507
134,1.962113857269287
135,1.977890968322754
136,1.966984748840332
137,1.9540436267852783
138,1.9617966413497925
139,1.9366462230682373
140,1.972063422203064
141,1.9794780015945435
142,1.9986872673034668
143,1.956998586654663
144,1.9535733461380005
145,1.9999960660934448
146,1.9565752744674683
147,1.9674071073532104
148,1.996550440788269
149,1.9564803838729858
150,1.9742509126663208
151,1.9552485942840576
152,1.9883761405944824
153,1.99320387840271
154,1.9829943180084229
155,1.9746816158294678
156,1.9872366189956665
157,1.9429030418395996
158,1.9815205335617065
159,2.0
160,1.988224983215332
161,1.982269525527954
162,1.9848272800445557
163,1.9823561906814575
164,1.9951940774917603
165,2.0
166,1.9881374835968018
167,1.9908742904663086
168,1.9932079315185547
169,1.9919676780700684
170,1.980140209197998
171,1.9984018802642822
172,1.999865174293518
173,1.9897421598434448
174,2.0
175,1.9977751970291138
176,1.983209490776062
177,2.0
178,1.9859890937805176
179,2.0
180,2.0
181,2.0
182,1.9881765842437744
183,1.9803823232650757
184,2.0
185,1.9892699718475342
186,1.9942092895507812
187,2.0
188,1.988603949546814
189,1.9762814044952393
190,2.0
191,1.999962568283081
192,2.0
193,1.9616318941116333
194,1.99807608127594
195,1.9975802898406982
196,2.0
197,2.0
198,1.995650291442871
199,2.0
200,2.0
201,2.0
202,1.9999871253967285
203,1.9980870485305786
204,2.0
205,1.9995445013046265
206,2.0
207,2.0
208,2.0
209,2.0
210,1.9997459650039673
211,1.996384620666504
212,2.0
213,2.0
214,2.0
215,2.0
216,1.9993466138839722
217,2.0
218,1.9992377758026123
219,2.0
220,1.9959238767623901
221,2.0
222,1.9997358322143555
223,1.9999940395355225
224,2.0
225,2.0
226,2.0
227,1.9984464645385742
228,2.0
229,2.0
230,2.0
231,2.0
232,1.9997785091400146
233,1.999644160270691
234,2.0
235,1.9995046854019165
236,2.0
237,2.0
238,2.0
239,2.0
240,1.999799132347107
241,2.0
242,2.0
243,2.0
244,1.9997237920761108
245,1.9999618530273438
246,1.9989138841629028
247,2.0
248,2.0
249,2.0
250,2.0
251,2.0
252,2.0
253,2.0
254,2.0
255,2.0
256,2.0
257,1.999881386756897
258,1.9992104768753052
259,1.9959628582000732
260,2.0
261,2.0
262,2.0
263,2.0
264,2.0
265,2.0
266,2.0
267,2.0
268,1.9984523057937622
269,1.9999467134475708
270,2.0
271,2.0
272,2.0
273,2.0
274,2.0
275,2.0
276,2.0
277,2.0
278,2.0
279,1.9999618530273438
280,2.0
281,1.9990471601486206
282,2.0
283,2.0
284,2.0
285,2.0
286,2.0
287,2.0
288,2.0
289,2.0
290,2.0
291,2.0
292,2.0
293,2.0
294,2.0
295,2.0
296,2.0
297,2.0
298,2.0
299,2.0
300,2.0
