arm,seed,success,foods,episodes,converged,onset,evasion_rate,temp_comfort,peak_action_density
wt_frozen,1,36.93333333333334,6.46,3000,True,1,8.8348271446863,0.8358748648295595,2.891036033630371
wt_frozen,2,0.8,2.1613333333333333,3000,True,1,2.3851076207097153,0.43789572974078406,2.5058035850524902
wt_frozen,3,7.733333333333333,3.616,3000,True,1,2.042450941129355,0.6226241031923787,2.712184190750122
wt_frozen,4,14.133333333333335,4.388,3000,True,1,4.778972520908005,0.5880152118173411,2.5726842880249023
wt_frozen,5,1.0666666666666667,2.3293333333333335,3000,True,1,8.470089994706195,0.3986491663043123,2.762953758239746
wt_frozen,6,0.4,1.9493333333333334,3000,True,1,1.9294117647058822,0.6439924576991238,4.397594451904297
wt_frozen,7,2.8000000000000003,2.5813333333333333,3000,True,1,1.7665396605472812,0.9008603645399028,2.8826444149017334
wt_frozen,8,2.0,2.528,3000,True,1,19.079627714581175,0.3418261710169013,3.18208384513855
wt_hebbian,1,78.26666666666667,9.062666666666667,3000,True,1,64.33919880194684,0.6383373184821265,20.139108657836914
wt_hebbian,2,1.866666666666667,2.3306666666666667,3000,True,1,3.971119133574007,0.9612576248623333,2.670337677001953
wt_hebbian,3,3.3333333333333335,2.8866666666666667,3000,True,1,3.300774671606601,0.9255939077431771,2.577089548110962
wt_hebbian,4,64.4,8.222666666666667,3000,True,1589,35.78392621870883,0.6937405351018819,3.937222957611084
wt_hebbian,5,0.0,0.4093333333333333,3000,True,1,2.9535864978902957,0.9983488696259566,4.24383020401001
wt_hebbian,6,0.0,0.38666666666666666,3000,True,1,3.4571890145395794,0.998060163605867,4.071959018707275
wt_hebbian,7,26.53333333333333,6.102666666666667,3000,True,535,19.766397124887693,0.7318700769472556,7.074307441711426
wt_hebbian,8,67.33333333333333,8.558666666666667,3000,True,1376,37.91869087189977,0.7093947826504463,4.760751247406006
wt_plastic,1,0.0,0.050666666666666665,3000,True,1,1.9874130506790328,0.9985313884616522,7.857457637786865
wt_plastic,2,70.53333333333333,8.717333333333332,3000,True,520,29.354654483152487,0.7081093357776977,4.878394603729248
wt_plastic,3,28.355555555555554,5.7555555555555555,4500,True,3860,10.1716465352829,0.7693380544795517,5.747147560119629
wt_plastic,4,1.866666666666667,2.476,3000,True,1,2.928647497337593,0.45995912374461334,2.5311241149902344
wt_plastic,5,27.46666666666667,5.985333333333333,3000,True,306,48.61268403171008,0.46632243309999644,3.7902417182922363
wt_plastic,6,9.2,4.236,3000,True,1,2.630590003757986,0.7369345939103432,4.725410461425781
wt_plastic,7,0.6666666666666667,1.7253333333333334,3000,True,1,1.1640596580574754,0.8710694078797582,5.43320369720459
wt_plastic,8,4.533333333333333,3.2666666666666666,3000,True,1,2.2449783379283184,0.728880986612314,2.9078612327575684
rn_frozen,1,8.666666666666668,3.952,3000,True,1,7.526535863621743,0.9164970019781055,2.8183023929595947
rn_frozen,2,4.8,3.804,3000,True,1,5.715339233038348,0.8236658236361469,2.714634418487549
rn_frozen,3,4.533333333333333,3.68,3000,True,1,3.644646924829157,0.7776026877756633,2.81803035736084
rn_frozen,4,2.933333333333333,3.014666666666667,3000,True,1,2.0901639344262297,0.7306118911038777,3.990473747253418
rn_frozen,5,4.8,3.1013333333333333,3000,True,1,4.417670682730924,0.42993112903515784,2.4209089279174805
rn_frozen,6,15.2,5.093333333333334,3000,True,1,4.346349745331069,0.7623423889532494,2.6612179279327393
rn_frozen,7,21.066666666666666,6.278666666666667,3000,True,1,20.30692362598144,0.6235998136036798,3.6106910705566406
rn_frozen,8,0.4,1.98,3000,True,1,9.899823217442547,0.3898320361516879,3.112673044204712
rn_hebbian,1,12.133333333333333,4.704,3000,True,1,5.998681608437705,0.8756246163091321,2.5512197017669678
rn_hebbian,2,44.13333333333333,6.989333333333334,3000,True,104,16.45151606124287,0.8299208670316972,3.149946928024292
rn_hebbian,3,0.0,0.9146666666666666,3000,True,1,3.9215686274509802,0.9945012837432937,3.343257427215576
rn_hebbian,4,24.133333333333333,5.392,3000,True,1,3.3549783549783543,0.7340889836205249,2.435936450958252
rn_hebbian,5,5.066666666666666,3.532,3000,True,1,2.3664395840803154,0.8282296564302764,2.5443058013916016
rn_hebbian,6,6.800000000000001,3.6426666666666665,3000,True,1,2.3092783505154637,0.5933059888896401,2.4420506954193115
rn_hebbian,7,12.0,5.129333333333333,3000,True,1,20.03868471953578,0.5395461740334595,3.1491081714630127
rn_hebbian,8,5.6000000000000005,3.688,3000,True,1,1.9862180786380215,0.7007174983631124,2.4606549739837646
rn_plastic,1,13.600000000000001,4.774666666666667,3000,True,1,42.546861053257956,0.5124512922453911,4.528618335723877
rn_plastic,2,6.266666666666667,3.256,3000,True,1,29.894736842105264,0.39527808988164936,2.9089694023132324
rn_plastic,3,7.066666666666667,3.808,3000,True,1,16.71997673742367,0.883517912846442,4.3602776527404785
rn_plastic,4,2.1333333333333333,2.497333333333333,3000,True,1,2.506091193873999,0.8875298334195019,3.2945947647094727
rn_plastic,5,2.0,2.4426666666666668,3000,True,1,19.934640522875817,0.36258786316684793,3.0089199542999268
rn_plastic,6,46.93333333333333,7.169333333333333,3000,True,102,24.648107600875818,0.6530499572400118,2.9251909255981445
rn_plastic,7,0.26666666666666666,1.5426666666666666,3000,True,1,3.6437246963562755,0.5922710674464566,4.793736457824707
rn_plastic,8,11.333333333333332,4.38,3000,True,1,41.06194690265487,0.38483455846251036,4.598275184631348
mlp_plastic,1,1.866666666666667,0.432,3000,True,1,7.2207958921694475,0.9663846135011718,39689.66796875
mlp_plastic,2,0.0,0.06266666666666666,3000,True,1,0.5716207128446538,0.9959498610402702,818297.0625
mlp_plastic,3,0.4,0.2786666666666667,3000,True,1,1.932689103632123,0.9943243370680929,22110.8203125
mlp_plastic,4,0.0,0.06533333333333333,3000,True,1,5.14657980456026,0.9798718760663621,12654.8046875
mlp_plastic,5,1.4666666666666666,0.45066666666666666,3000,True,1,4.3705153294194385,0.9836637145447376,6143.361328125
mlp_plastic,6,0.4,0.5106666666666667,3000,True,1,13.086053412462908,0.9810864171365652,49500.17578125
mlp_plastic,7,3.5999999999999996,0.672,3000,True,1,3.8637851997380483,0.9884125228078372,90604.5703125
mlp_plastic,8,0.6666666666666667,0.30933333333333335,3000,True,1,6.658089417819236,0.9737487369559897,74406.703125
