arm,seed,window_end,success
wt_hebbian,7,1250,26.40
wt_hebbian,7,1500,23.60
wt_hebbian,7,1750,23.60
wt_hebbian,7,2000,25.60
wt_hebbian,7,2250,22.80
wt_hebbian,7,2500,24.00
wt_hebbian,7,2750,28.80
wt_hebbian,7,3000,26.80
wt_hebbian,8,250,72.00
wt_hebbian,8,500,71.60
wt_hebbian,8,750,66.40
wt_hebbian,8,1000,69.20
wt_hebbian,8,1250,66.80
wt_hebbian,8,1500,62.80
wt_hebbian,8,1750,62.40
wt_hebbian,8,2000,65.60
wt_hebbian,8,2250,63.20
wt_hebbian,8,2500,66.80
wt_hebbian,8,2750,70.40
wt_hebbian,8,3000,64.80
wt_plastic,1,250,1.20
wt_plastic,1,500,0.00
wt_plastic,1,750,0.00
wt_plastic,1,1000,0.00
wt_plastic,1,1250,0.00
wt_plastic,1,1500,0.00
wt_plastic,1,1750,0.00
wt_plastic,1,2000,0.00
wt_plastic,1,2250,0.00
wt_plastic,1,2500,0.00
wt_plastic,1,2750,0.00
wt_plastic,1,3000,0.00
wt_plastic,2,250,40.80
wt_plastic,2,500,63.20
wt_plastic,2,750,62.80
wt_plastic,2,1000,69.20
wt_plastic,2,1250,73.60
wt_plastic,2,1500,68.80
wt_plastic,2,1750,66.00
wt_plastic,2,2000,68.80
wt_plastic,2,2250,68.40
wt_plastic,2,2500,68.80
wt_plastic,2,2750,69.60
wt_plastic,2,3000,73.20
wt_plastic,3,250,16.00
wt_plastic,3,500,16.00
wt_plastic,3,750,22.40
wt_plastic,3,1000,27.60
wt_plastic,3,1250,21.20
wt_plastic,3,1500,29.20
wt_plastic,3,1750,27.20
wt_plastic,3,2000,31.60
wt_plastic,3,2250,29.20
wt_plastic,3,2500,32.40
wt_plastic,3,2750,31.60
wt_plastic,3,3000,24.00
wt_plastic,3,3250,28.40
wt_plastic,3,3500,39.60
wt_plastic,3,3750,35.60
wt_plastic,3,4000,13.20
wt_plastic,3,4250,27.60
wt_plastic,3,4500,30.80
wt_plastic,4,250,3.20
wt_plastic,4,500,0.80
wt_plastic,4,750,1.60
wt_plastic,4,1000,1.20
wt_plastic,4,1250,0.00
wt_plastic,4,1500,1.60
wt_plastic,4,1750,0.00
wt_plastic,4,2000,0.40
wt_plastic,4,2250,2.00
wt_plastic,4,2500,1.20
wt_plastic,4,2750,2.00
wt_plastic,4,3000,2.40
wt_plastic,5,250,28.80
wt_plastic,5,500,17.60
wt_plastic,5,750,26.40
wt_plastic,5,1000,25.20
wt_plastic,5,1250,23.60
wt_plastic,5,1500,23.60
wt_plastic,5,1750,28.00
wt_plastic,5,2000,28.80
wt_plastic,5,2250,30.40
wt_plastic,5,2500,26.80
wt_plastic,5,2750,28.80
wt_plastic,5,3000,26.80
wt_plastic,6,250,24.00
wt_plastic,6,500,12.00
wt_plastic,6,750,12.40
wt_plastic,6,1000,20.00
wt_plastic,6,1250,12.00
wt_plastic,6,1500,13.60
wt_plastic,6,1750,12.00
wt_plastic,6,2000,13.60
wt_plastic,6,2250,10.80
wt_plastic,6,2500,7.20
wt_plastic,6,2750,10.80
wt_plastic,6,3000,9.60
wt_plastic,7,250,0.40
wt_plastic,7,500,1.60
wt_plastic,7,750,2.00
wt_plastic,7,1000,0.80
wt_plastic,7,1250,0.80
wt_plastic,7,1500,0.80
wt_plastic,7,1750,0.40
wt_plastic,7,2000,0.80
wt_plastic,7,2250,0.80
wt_plastic,7,2500,1.20
wt_plastic,7,2750,0.40
wt_plastic,7,3000,0.40
wt_plastic,8,250,6.00
wt_plastic,8,500,10.80
wt_plastic,8,750,7.20
wt_plastic,8,1000,4.00
wt_plastic,8,1250,3.20
wt_plastic,8,1500,2.00
wt_plastic,8,1750,2.00
wt_plastic,8,2000,2.00
wt_plastic,8,2250,1.20
wt_plastic,8,2500,4.00
wt_plastic,8,2750,4.00
wt_plastic,8,3000,5.60
rn_frozen,1,250,5.60
rn_frozen,1,500,8.80
rn_frozen,1,750,7.20
rn_frozen,1,1000,8.40
rn_frozen,1,1250,12.00
rn_frozen,1,1500,8.40
rn_frozen,1,1750,6.40
rn_frozen,1,2000,7.60
rn_frozen,1,2250,8.80
rn_frozen,1,2500,9.60
rn_frozen,1,2750,8.40
rn_frozen,1,3000,8.00
rn_frozen,2,250,5.20
rn_frozen,2,500,4.80
rn_frozen,2,750,2.40
rn_frozen,2,1000,5.20
rn_frozen,2,1250,3.60
rn_frozen,2,1500,2.40
