run,log_std_clamped_mean
1,-0.006705498788505793
2,0.041717518121004105
3,0.002605655463412404
4,0.07134093344211578
5,0.08098489791154861
6,0.02905074693262577
7,-0.02151869423687458
8,-0.09323199093341827
9,-0.06164621561765671
10,-0.037761855870485306
11,-0.050512488931417465
12,-0.09344035387039185
13,-0.04610450938344002
14,-0.07519381493330002
15,-0.0342690646648407
16,-0.09203454107046127
17,-0.1186801940202713
18,-0.09626185148954391
19,-0.14065667986869812
20,-0.17163912951946259
21,-0.17879937589168549
22,-0.14808031916618347
23,-0.2133181244134903
24,-0.25457748770713806
25,-0.2556673288345337
26,-0.2641812562942505
27,-0.2888330817222595
28,-0.3158259093761444
29,-0.4105337858200073
30,-0.40976208448410034
31,-0.38366690278053284
32,-0.35581740736961365
33,-0.35887405276298523
34,-0.3504289984703064
35,-0.38471826910972595
36,-0.4140145182609558
37,-0.3713742196559906
38,-0.37388184666633606
39,-0.37043294310569763
40,-0.35654693841934204
41,-0.33111265301704407
42,-0.2842862606048584
43,-0.2114897221326828
44,-0.17437778413295746
45,-0.15501883625984192
46,-0.15082143247127533
47,-0.18018744885921478
48,-0.1455051600933075
49,-0.16258017718791962
50,-0.07268188893795013
51,-0.06957243382930756
52,-0.07508827745914459
53,-0.10518447309732437
54,-0.09934227168560028
55,-0.04354630783200264
56,-0.05248092859983444
57,-0.0021492072846740484
58,-0.03610319271683693
59,0.053724147379398346
60,-0.007351159583777189
61,-0.026070451363921165
62,-0.12349327653646469
63,-0.13515543937683105
64,-0.14662925899028778
65,-0.1844126135110855
66,-0.1204022541642189
67,-0.1511181741952896
68,-0.16905735433101654
69,-0.18769459426403046
70,-0.19025945663452148
71,-0.24329347908496857
72,-0.24693559110164642
73,-0.26298531889915466
74,-0.3124811053276062
75,-0.4167288839817047
76,-0.4131764769554138
77,-0.38305801153182983
78,-0.4204261600971222
79,-0.4423326551914215
80,-0.5815305709838867
81,-0.5238561630249023
82,-0.4828532338142395
83,-0.4143194258213043
84,-0.4095946252346039
85,-0.3229624032974243
86,-0.31834331154823303
87,-0.358957439661026
88,-0.4483060836791992
89,-0.582689642906189
90,-0.6625388860702515
91,-0.6856989860534668
92,-0.5643964409828186
93,-0.6052135229110718
94,-0.4820089340209961
95,-0.5621283650398254
96,-0.5303032398223877
97,-0.40756741166114807
98,-0.4827469289302826
99,-0.5512316823005676
100,-0.5747765898704529
101,-0.5168922543525696
102,-0.45867958664894104
103,-0.5248896479606628
104,-0.4586373567581177
105,-0.5486670136451721
106,-0.446856290102005
107,-0.40178290009498596
108,-0.4402634799480438
109,-0.49892428517341614
110,-0.6946132183074951
111,-0.655267596244812
112,-0.5816292762756348
113,-0.4523698091506958
114,-0.5248121023178101
115,-0.42706090211868286
116,-0.47454333305358887
117,-0.5135498046875
118,-0.6023827195167542
119,-0.6024709343910217
120,-0.6362037658691406
121,-0.49437400698661804
122,-0.6839380264282227
123,-0.6204735636711121
124,-0.6694380640983582
125,-0.7824486494064331
126,-0.6362367272377014
127,-0.7238515615463257
128,-0.6726356744766235
129,-0.7016686797142029
130,-0.5744044184684753
131,-0.6470038294792175
132,-0.7453336715698242
133,-0.6305508017539978
134,-0.525179386138916
135,-0.7507015466690063
136,-0.6222295761108398
137,-0.6669134497642517
138,-0.526557207107544
139,-0.5471376776695251
140,-0.5415461659431458
141,-0.5039892196655273
142,-0.3916339576244354
143,-0.2672199010848999
144,-0.2764967083930969
145,-0.3641355335712433
146,-0.3066672086715698
147,-0.33775171637535095
148,-0.39734095335006714
149,-0.35638850927352905
150,-0.4242141544818878
151,-0.30734241008758545
152,-0.21000805497169495
153,-0.44273534417152405
154,-0.4218675494194031
155,-0.41767627000808716
156,-0.44240254163742065
157,-0.4469771683216095
158,-0.36457616090774536
159,-0.5733206868171692
160,-0.4334399998188019
161,-0.42109909653663635
162,-0.40395626425743103
163,-0.507305920124054
164,-0.4876329302787781
165,-0.5044426918029785
166,-0.5273446440696716
167,-0.5073538422584534
168,-0.6255477666854858
169,-0.5995209813117981
170,-0.4772155284881592
171,-0.5871562361717224
172,-0.5178914666175842
173,-0.6445438265800476
174,-0.5708156824111938
175,-0.6744008660316467
176,-0.497321218252182
177,-0.4880490303039551
178,-0.6734485626220703
179,-0.7068690657615662
180,-0.7601272463798523
181,-0.8870025873184204
182,-0.8919587731361389
183,-0.8228729963302612
184,-0.9002664685249329
185,-0.6639171838760376
186,-0.6936210989952087
187,-0.8327891230583191
188,-0.7082880139350891
189,-0.5811805129051208
190,-0.7595061659812927
191,-0.8419800996780396
192,-0.9044569730758667
193,-0.9298420548439026
194,-0.8983674049377441
195,-1.0408134460449219
196,-0.9070888757705688
197,-0.8560975193977356
198,-0.8708640336990356
199,-0.8498326539993286
200,-0.9446823596954346
201,-0.8869841694831848
202,-1.0565896034240723
203,-0.8683532476425171
204,-0.8436427116394043
205,-0.9121040105819702
206,-0.7357078194618225
207,-1.0234066247940063
