arm,rate,node_noise,seed,score,modulator,mean_abs_delta,alignment,alignment_decay,alignment_floor
eprop_scalar,0.001,,4,-0.728868,0.002226,0.00037274,0.017092,nan,0.017092
eprop_scalar,0.01,,4,-0.732577,0.002235,0.00379637,0.001668,nan,0.001668
node_perturbation_annealed,0.001,0.2,5,-0.386559,0.002216,0.00024063,0.111434,0.180916,0.041952
analytic,,,5,-0.133413,nan,nan,0.114374,nan,0.114374
hebbian,,,5,-0.573271,1.000000,0.00062328,0.046045,nan,0.046045
three_factor,0.0001,,5,-0.750632,0.002184,0.00002269,0.013998,nan,0.013998
three_factor,0.001,,5,-0.706254,0.002157,0.00005563,0.041575,nan,0.041575
three_factor,0.01,,5,-0.703402,0.002179,0.00014190,0.000759,nan,0.000759
node_perturbation,0.001,0.01,5,-0.637440,0.002237,0.00025031,0.032521,nan,0.032521
node_perturbation,0.001,0.05,5,-0.381666,0.002268,0.00024594,0.116040,nan,0.116040
node_perturbation,0.001,0.2,5,-0.183285,0.002119,0.00022473,0.239400,nan,0.239400
eprop_symmetric,0.0001,,5,-0.213727,0.002216,0.00002332,0.681368,nan,0.681368
eprop_symmetric,0.001,,5,-0.135430,0.002012,0.00024854,0.132361,nan,0.132361
eprop_symmetric,0.01,,5,-0.142715,0.001776,0.00249861,0.110913,nan,0.110913
eprop_random,0.0001,,5,-1.280729,0.002022,0.00002474,-0.414243,nan,-0.414243
eprop_random,0.001,,5,-1.434523,0.001991,0.00027050,-0.098156,nan,-0.098156
eprop_random,0.01,,5,-1.420707,0.002092,0.00269528,-0.048342,nan,-0.048342
eprop_scalar,0.0001,,5,-0.584297,0.002187,0.00003396,0.152669,nan,0.152669
eprop_scalar,0.001,,5,-0.747226,0.002093,0.00038931,-0.001105,nan,-0.001105
eprop_scalar,0.01,,5,-0.745897,0.002048,0.00394957,0.000653,nan,0.000653
node_perturbation_annealed,0.001,0.2,6,-1.024042,0.002048,0.00026062,0.065585,0.083131,0.048039
analytic,,,6,-0.134097,nan,nan,0.703686,nan,0.703686
hebbian,,,6,-1.382826,1.000000,0.00060730,-0.065399,nan,-0.065399
three_factor,0.0001,,6,-1.161269,0.001972,0.00002567,0.119823,nan,0.119823
three_factor,0.001,,6,-1.032652,0.002027,0.00011730,0.052800,nan,0.052800
three_factor,0.01,,6,-1.071733,0.002028,0.00124982,0.001454,nan,0.001454
node_perturbation,0.001,0.01,6,-1.330333,0.002134,0.00026674,0.008241,nan,0.008241
node_perturbation,0.001,0.05,6,-1.074183,0.002127,0.00026483,0.058518,nan,0.058518
node_perturbation,0.001,0.2,6,-0.201903,0.002167,0.00024242,0.328557,nan,0.328557
eprop_symmetric,0.0001,,6,-0.287389,0.002315,0.00002480,0.785372,nan,0.785372
eprop_symmetric,0.001,,6,-0.135063,0.002381,0.00024083,0.170948,nan,0.170948
eprop_symmetric,0.01,,6,-0.141071,0.002195,0.00235575,0.073387,nan,0.073387
eprop_random,0.0001,,6,-1.416908,0.001928,0.00002822,-0.015243,nan,-0.015243
eprop_random,0.001,,6,-0.661039,0.002163,0.00027986,0.078292,nan,0.078292
eprop_random,0.01,,6,-0.665484,0.002197,0.00277940,0.012843,nan,0.012843
eprop_scalar,0.0001,,6,-1.311474,0.002071,0.00003608,0.023384,nan,0.023384
eprop_scalar,0.001,,6,-1.022791,0.002251,0.00033814,0.040084,nan,0.040084
eprop_scalar,0.01,,6,-1.031638,0.002256,0.00326430,-0.004020,nan,-0.004020
node_perturbation_annealed,0.001,0.2,7,-0.414330,0.002342,0.00025259,0.120424,0.173428,0.067420
analytic,,,7,-0.137639,nan,nan,0.103528,nan,0.103528
hebbian,,,7,-0.739909,1.000000,0.00063497,0.012924,nan,0.012924
three_factor,0.0001,,7,-0.696037,0.002170,0.00002303,0.111761,nan,0.111761
three_factor,0.001,,7,-0.694139,0.002154,0.00008745,0.024866,nan,0.024866
three_factor,0.01,,7,-0.659103,0.002142,0.00094669,0.003165,nan,0.003165
node_perturbation,0.001,0.01,7,-0.784461,0.002181,0.00028147,0.009562,nan,0.009562
node_perturbation,0.001,0.05,7,-0.423513,0.002307,0.00026591,0.116173,nan,0.116173
node_perturbation,0.001,0.2,7,-0.188824,0.002194,0.00023851,0.271122,nan,0.271122
eprop_symmetric,0.0001,,7,-0.173562,0.002233,0.00002308,0.804014,nan,0.804014
eprop_symmetric,0.001,,7,-0.139003,0.002084,0.00024326,0.142387,nan,0.142387
