cell,mode,metric,is_primary_metric,seed,interaction
hard_food,per_neuron_fanin,auc_success,0,159,0.027000
hard_food,per_neuron_fanin,auc_success,0,160,-0.019333
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,129,-1264.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,130,1027.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,131,-1107.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,132,30.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,133,-214.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,134,30.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,135,-290.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,136,-846.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,137,453.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,138,-237.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,139,1432.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,140,80.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,141,185.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,142,-231.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,143,-1073.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,144,1146.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,145,-306.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,146,880.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,147,-1448.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,148,287.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,149,-1893.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,150,-1794.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,151,1078.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,152,144.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,153,-985.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,154,-93.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,155,977.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,156,-1114.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,157,17.000000
hard_food,per_neuron_fanin,episodes_to_30pct_success,1,158,-457.000000
