arm,seed,window_end,success
wt_frozen_atlas,49,250,24.80
wt_frozen_atlas,49,500,25.20
wt_frozen_atlas,49,750,20.00
wt_frozen_atlas,50,250,12.00
wt_frozen_atlas,50,500,9.60
wt_frozen_atlas,50,750,14.00
wt_frozen_atlas,51,250,42.40
wt_frozen_atlas,51,500,47.20
wt_frozen_atlas,51,750,45.00
wt_frozen_atlas,52,250,13.20
wt_frozen_atlas,52,500,12.80
wt_frozen_atlas,52,750,9.00
wt_frozen_atlas,53,250,10.80
wt_frozen_atlas,53,500,12.80
wt_frozen_atlas,53,750,11.00
wt_frozen_atlas,54,250,5.20
wt_frozen_atlas,54,500,4.40
wt_frozen_atlas,54,750,6.00
wt_frozen_atlas,55,250,23.60
wt_frozen_atlas,55,500,19.20
wt_frozen_atlas,55,750,17.00
wt_frozen_atlas,56,250,2.80
wt_frozen_atlas,56,500,2.80
wt_frozen_atlas,56,750,5.00
wt_frozen_atlas,57,250,16.80
wt_frozen_atlas,57,500,12.80
wt_frozen_atlas,57,750,12.00
wt_frozen_atlas,58,250,4.80
wt_frozen_atlas,58,500,5.60
wt_frozen_atlas,58,750,4.00
wt_frozen_atlas,59,250,11.60
wt_frozen_atlas,59,500,8.00
wt_frozen_atlas,59,750,10.00
wt_frozen_atlas,60,250,3.20
wt_frozen_atlas,60,500,3.60
wt_frozen_atlas,60,750,2.00
wt_frozen_atlas,61,250,2.80
wt_frozen_atlas,61,500,5.60
wt_frozen_atlas,61,750,4.00
wt_frozen_atlas,62,250,4.00
wt_frozen_atlas,62,500,5.20
wt_frozen_atlas,62,750,4.00
wt_frozen_atlas,63,250,16.40
wt_frozen_atlas,63,500,14.40
wt_frozen_atlas,63,750,16.00
wt_frozen_atlas,64,250,4.40
wt_frozen_atlas,64,500,4.40
wt_frozen_atlas,64,750,3.00
rn_frozen_atlas,1,250,45.20
rn_frozen_atlas,1,500,40.80
rn_frozen_atlas,1,750,43.00
rn_frozen_atlas,2,250,10.80
rn_frozen_atlas,2,500,12.40
rn_frozen_atlas,2,750,8.00
rn_frozen_atlas,3,250,2.00
rn_frozen_atlas,3,500,1.20
rn_frozen_atlas,3,750,3.00
rn_frozen_atlas,4,250,2.80
rn_frozen_atlas,4,500,1.20
rn_frozen_atlas,4,750,4.00
rn_frozen_atlas,5,250,1.20
rn_frozen_atlas,5,500,3.60
rn_frozen_atlas,5,750,2.00
rn_frozen_atlas,6,250,4.40
rn_frozen_atlas,6,500,3.20
rn_frozen_atlas,6,750,5.00
rn_frozen_atlas,7,250,2.00
rn_frozen_atlas,7,500,1.60
rn_frozen_atlas,7,750,1.00
rn_frozen_atlas,8,250,3.60
rn_frozen_atlas,8,500,0.40
rn_frozen_atlas,8,750,2.00
rn_frozen_atlas,9,250,23.60
rn_frozen_atlas,9,500,24.40
rn_frozen_atlas,9,750,23.60
rn_frozen_atlas,9,1000,20.67
rn_frozen_atlas,10,250,8.00
rn_frozen_atlas,10,500,10.00
rn_frozen_atlas,10,750,13.00
rn_frozen_atlas,11,250,45.20
rn_frozen_atlas,11,500,44.00
rn_frozen_atlas,11,750,34.40
rn_frozen_atlas,11,1000,38.67
rn_frozen_atlas,12,250,0.80
rn_frozen_atlas,12,500,0.40
rn_frozen_atlas,12,750,0.00
rn_frozen_atlas,13,250,2.00
rn_frozen_atlas,13,500,4.00
rn_frozen_atlas,13,750,4.00
rn_frozen_atlas,14,250,0.40
rn_frozen_atlas,14,500,0.40
rn_frozen_atlas,14,750,0.00
rn_frozen_atlas,15,250,0.40
rn_frozen_atlas,15,500,0.40
rn_frozen_atlas,15,750,0.00
rn_frozen_atlas,16,250,0.80
rn_frozen_atlas,16,500,0.00
rn_frozen_atlas,16,750,0.00
rn_frozen_atlas,17,250,0.00
rn_frozen_atlas,17,500,0.00
rn_frozen_atlas,17,750,0.00
rn_frozen_atlas,18,250,45.20
rn_frozen_atlas,18,500,36.40
rn_frozen_atlas,18,750,40.00
rn_frozen_atlas,19,250,0.00
rn_frozen_atlas,19,500,0.00
rn_frozen_atlas,19,750,1.00
rn_frozen_atlas,20,250,0.00
rn_frozen_atlas,20,500,0.00
rn_frozen_atlas,20,750,0.00
rn_frozen_atlas,21,250,3.60
rn_frozen_atlas,21,500,4.00
rn_frozen_atlas,21,750,4.00
