run,config_name,agent_id,steps,termination_reason,foods_collected,total_reward,success,satiety_remaining,foods_available
11,lstmppo_small_5agents_temporal_no_pheromone,agent_4,1001,max_steps,9,21.7600,False,118.00,10
12,lstmppo_small_5agents_temporal_no_pheromone,agent_0,738,starved,5,18.0600,False,0.00,10
12,lstmppo_small_5agents_temporal_no_pheromone,agent_1,561,starved,2,9.6050,False,0.00,10
12,lstmppo_small_5agents_temporal_no_pheromone,agent_2,902,starved,7,17.9200,False,0.00,10
12,lstmppo_small_5agents_temporal_no_pheromone,agent_3,641,starved,3,8.3850,False,0.00,10
12,lstmppo_small_5agents_temporal_no_pheromone,agent_4,944,completed_all_food,10,17.6900,True,249.00,10
13,lstmppo_small_5agents_temporal_no_pheromone,agent_0,727,starved,6,16.7950,False,0.00,10
13,lstmppo_small_5agents_temporal_no_pheromone,agent_1,561,starved,2,3.5250,False,0.00,10
13,lstmppo_small_5agents_temporal_no_pheromone,agent_2,715,starved,4,-7.9650,False,0.00,10
13,lstmppo_small_5agents_temporal_no_pheromone,agent_3,961,starved,7,22.3250,False,0.00,10
13,lstmppo_small_5agents_temporal_no_pheromone,agent_4,629,starved,3,6.1250,False,0.00,10
14,lstmppo_small_5agents_temporal_no_pheromone,agent_0,847,starved,6,16.9950,False,0.00,10
14,lstmppo_small_5agents_temporal_no_pheromone,agent_1,561,starved,2,3.7050,False,0.00,10
14,lstmppo_small_5agents_temporal_no_pheromone,agent_2,401,starved,0,-1.4550,False,0.00,10
14,lstmppo_small_5agents_temporal_no_pheromone,agent_3,743,starved,5,12.7350,False,0.00,10
14,lstmppo_small_5agents_temporal_no_pheromone,agent_4,436,starved,1,2.3300,False,0.00,10
15,lstmppo_small_5agents_temporal_no_pheromone,agent_0,481,starved,1,6.6450,False,0.00,10
15,lstmppo_small_5agents_temporal_no_pheromone,agent_1,401,starved,0,-5.1950,False,0.00,10
15,lstmppo_small_5agents_temporal_no_pheromone,agent_2,573,starved,3,14.7250,False,0.00,10
15,lstmppo_small_5agents_temporal_no_pheromone,agent_3,481,starved,1,-5.0750,False,0.00,10
15,lstmppo_small_5agents_temporal_no_pheromone,agent_4,497,starved,2,-0.6350,False,0.00,10
16,lstmppo_small_5agents_temporal_no_pheromone,agent_0,721,starved,4,8.0850,False,0.00,10
16,lstmppo_small_5agents_temporal_no_pheromone,agent_1,561,starved,2,1.5850,False,0.00,10
16,lstmppo_small_5agents_temporal_no_pheromone,agent_2,568,starved,3,-3.2300,False,0.00,10
16,lstmppo_small_5agents_temporal_no_pheromone,agent_3,481,starved,1,9.9250,False,0.00,10
16,lstmppo_small_5agents_temporal_no_pheromone,agent_4,816,starved,6,17.3900,False,0.00,10
17,lstmppo_small_5agents_temporal_no_pheromone,agent_0,481,starved,1,-3.5950,False,0.00,10
17,lstmppo_small_5agents_temporal_no_pheromone,agent_1,401,starved,0,1.2850,False,0.00,10
17,lstmppo_small_5agents_temporal_no_pheromone,agent_2,401,starved,0,-2.3550,False,0.00,10
17,lstmppo_small_5agents_temporal_no_pheromone,agent_3,520,starved,3,1.9900,False,0.00,10
17,lstmppo_small_5agents_temporal_no_pheromone,agent_4,401,starved,0,3.9050,False,0.00,10
18,lstmppo_small_5agents_temporal_no_pheromone,agent_0,936,starved,7,20.6300,False,0.00,10
18,lstmppo_small_5agents_temporal_no_pheromone,agent_1,619,starved,3,11.0550,False,0.00,10
18,lstmppo_small_5agents_temporal_no_pheromone,agent_2,495,starved,2,3.5350,False,0.00,10
18,lstmppo_small_5agents_temporal_no_pheromone,agent_3,561,starved,2,7.5650,False,0.00,10
18,lstmppo_small_5agents_temporal_no_pheromone,agent_4,401,starved,0,-0.0350,False,0.00,10
19,lstmppo_small_5agents_temporal_no_pheromone,agent_0,481,starved,1,-0.8150,False,0.00,10
19,lstmppo_small_5agents_temporal_no_pheromone,agent_1,641,starved,3,14.6050,False,0.00,10
19,lstmppo_small_5agents_temporal_no_pheromone,agent_2,802,starved,6,10.1200,False,0.00,10
19,lstmppo_small_5agents_temporal_no_pheromone,agent_3,444,starved,1,-3.9100,False,0.00,10
19,lstmppo_small_5agents_temporal_no_pheromone,agent_4,561,starved,2,2.4850,False,0.00,10
20,lstmppo_small_5agents_temporal_no_pheromone,agent_0,561,starved,2,8.6650,False,0.00,10
20,lstmppo_small_5agents_temporal_no_pheromone,agent_1,680,starved,5,13.1700,False,0.00,10
20,lstmppo_small_5agents_temporal_no_pheromone,agent_2,401,starved,0,0.5050,False,0.00,10
20,lstmppo_small_5agents_temporal_no_pheromone,agent_3,641,starved,3,9.2850,False,0.00,10
20,lstmppo_small_5agents_temporal_no_pheromone,agent_4,562,starved,3,0.8600,False,0.00,10
21,lstmppo_small_5agents_temporal_no_pheromone,agent_0,486,starved,2,5.1600,False,0.00,10
21,lstmppo_small_5agents_temporal_no_pheromone,agent_1,1001,max_steps,9,15.8800,False,89.00,10
21,lstmppo_small_5agents_temporal_no_pheromone,agent_2,401,starved,0,4.1650,False,0.00,10
21,lstmppo_small_5agents_temporal_no_pheromone,agent_3,401,starved,0,-6.3950,False,0.00,10
21,lstmppo_small_5agents_temporal_no_pheromone,agent_4,721,starved,4,3.5650,False,0.00,10
