half,seed,full_wt_plateau,full_wt_floor,full_rn_plateau,full_rn_floor,full_gap_auc_success,full_gap_episodes_to_30pct_success,chemical_wt_plateau,chemical_wt_floor,chemical_rn_plateau,chemical_rn_floor,chemical_gap_auc_success,chemical_gap_episodes_to_30pct_success,gap_held_wt_plateau,gap_held_wt_floor,gap_held_rn_plateau,gap_held_rn_floor,gap_held_gap_auc_success,gap_held_gap_episodes_to_30pct_success,gap_junctions_auc_success,a6_move_auc_success,remainder_auc_success,gap_junctions_episodes_to_30pct_success,a6_move_episodes_to_30pct_success,remainder_episodes_to_30pct_success
ppo,326,73.733333,0.000000,83.866667,0.000000,0.005000,1052.000000,73.733333,0.000000,81.066667,0.000000,-0.058333,-80.000000,73.733333,0.000000,79.200000,0.000000,-0.052000,-100.000000,-0.057000,-0.063333,-0.006333,-1152.000000,-1132.000000,20.000000
ppo,327,74.666667,0.000000,59.466667,0.000000,0.105667,1056.000000,74.666667,0.000000,73.066667,0.000000,-0.003333,-143.000000,74.666667,0.000000,72.400000,0.000000,0.037667,1069.000000,-0.068000,-0.109000,-0.041000,13.000000,-1199.000000,-1212.000000
ppo,328,77.333333,0.000000,69.600000,1.066667,0.041000,-899.000000,77.333333,0.000000,72.133333,0.000000,0.044333,28.000000,77.333333,0.000000,71.733333,0.000000,0.039000,114.000000,-0.002000,0.003333,0.005333,1013.000000,927.000000,-86.000000
ppo,329,70.133333,0.000000,70.533333,0.000000,-0.082333,-332.000000,70.133333,0.000000,75.200000,0.000000,-0.045333,-253.000000,70.133333,0.000000,71.866667,0.000000,-0.019333,-62.000000,0.063000,0.037000,-0.026000,270.000000,79.000000,-191.000000
ppo,330,62.400000,0.000000,75.600000,0.000000,-0.071667,-1405.000000,62.400000,0.000000,65.466667,0.000000,-0.074000,-1396.000000,62.400000,0.000000,74.533333,0.000000,-0.046667,-1310.000000,0.025000,-0.002333,-0.027333,95.000000,9.000000,-86.000000
ppo,331,77.600000,0.000000,72.133333,0.000000,0.021667,-808.000000,77.600000,0.000000,76.666667,0.000000,-0.036333,-883.000000,77.600000,0.000000,67.733333,0.000000,0.051667,94.000000,0.030000,-0.058000,-0.088000,902.000000,-75.000000,-977.000000
ppo,332,79.866667,0.000000,77.466667,0.000000,0.088000,936.000000,79.866667,0.000000,74.933333,0.000000,0.062667,4.000000,79.866667,0.000000,81.466667,0.000000,0.049000,956.000000,-0.039000,-0.025333,0.013667,20.000000,-932.000000,-952.000000
ppo,333,81.600000,0.000000,75.333333,0.000000,0.085000,-165.000000,81.600000,0.000000,74.533333,0.000000,0.049000,-53.000000,81.600000,0.000000,76.933333,0.000000,0.065667,1049.000000,-0.019333,-0.036000,-0.016667,1214.000000,112.000000,-1102.000000
ppo,334,80.400000,0.000000,68.533333,0.000000,0.077333,1191.000000,80.400000,0.000000,68.266667,0.000000,0.165667,1303.000000,80.400000,0.000000,74.133333,0.000000,0.079333,47.000000,0.002000,0.088333,0.086333,-1144.000000,112.000000,1256.000000
ppo,335,85.600000,0.000000,67.600000,0.133333,0.133667,196.000000,85.600000,0.000000,71.466667,0.000000,0.068667,5.000000,85.600000,0.000000,75.200000,0.000000,0.022333,-1054.000000,-0.111333,-0.065000,0.046333,-1250.000000,-191.000000,1059.000000
ppo,336,81.200000,0.000000,79.333333,0.000000,0.003000,-809.000000,81.200000,0.000000,82.000000,0.000000,-0.008000,-961.000000,81.200000,0.000000,77.200000,0.000000,0.061667,6.000000,0.058667,-0.011000,-0.069667,815.000000,-152.000000,-967.000000
reading,337,15.866667,0.000000,19.866667,0.000000,-0.062000,-0.000000,15.866667,0.000000,60.800000,0.000000,-0.418667,-2620.000000,15.866667,0.000000,43.600000,0.000000,-0.106667,-837.000000,-0.044667,-0.356667,-0.312000,-837.000000,-2620.000000,-1783.000000
reading,338,47.200000,0.000000,78.000000,0.000000,-0.312000,-364.000000,47.200000,0.000000,89.333333,0.000000,-0.502333,-588.000000,47.200000,0.000000,66.400000,0.000000,-0.236000,-378.000000,0.076000,-0.190333,-0.266333,-14.000000,-224.000000,-210.000000
reading,339,68.666667,0.000000,20.400000,0.000000,0.430000,2555.000000,68.666667,0.000000,84.400000,0.000000,-0.189667,-212.000000,68.666667,0.000000,94.666667,0.000000,-0.276000,-221.000000,-0.706000,-0.619667,0.086333,-2776.000000,-2767.000000,9.000000
reading,340,13.200000,0.000000,93.333333,0.000000,-0.753667,-2737.000000,13.200000,0.000000,87.866667,0.000000,-0.772667,-2967.000000,13.200000,0.000000,81.333333,0.000000,-0.576667,-2651.000000,0.177000,-0.019000,-0.196000,86.000000,-230.000000,-316.000000
reading,341,79.466667,0.000000,86.800000,0.266667,-0.128000,-148.000000,79.466667,0.000000,18.533333,0.000000,0.549333,2653.000000,79.466667,0.000000,77.466667,0.000000,-0.063333,-345.000000,0.064667,0.677333,0.612667,-197.000000,2801.000000,2998.000000
reading,342,83.600000,0.000000,65.733333,0.000000,0.199333,169.000000,83.600000,0.000000,56.400000,0.000000,0.315333,375.000000,83.600000,0.000000,91.333333,0.000000,-0.109000,109.000000,-0.308333,0.116000,0.424333,-60.000000,206.000000,266.000000
reading,343,24.266667,0.266667,44.933333,0.000000,-0.211667,-1526.000000,24.266667,0.266667,72.533333,0.133333,-0.429000,-1883.000000,24.266667,0.266667,92.533333,0.000000,-0.580667,-1736.000000,-0.369000,-0.217333,0.151667,-210.000000,-357.000000,-147.000000
reading,344,50.800000,0.000000,54.933333,0.533333,-0.280667,-1851.000000,50.800000,0.000000,71.066667,0.000000,-0.510333,-1947.000000,50.800000,0.000000,55.333333,0.000000,-0.229000,-1684.000000,0.051667,-0.229667,-0.281333,167.000000,-96.000000,-263.000000
reading,345,59.600000,0.000000,33.466667,0.000000,0.370667,1448.000000,59.600000,0.000000,69.733333,0.000000,-0.078000,-77.000000,59.600000,0.000000,88.533333,0.000000,-0.305333,-233.000000,-0.676000,-0.448667,0.227333,-1681.000000,-1525.000000,156.000000
reading,346,52.533333,0.000000,58.666667,0.000000,-0.112000,-53.000000,52.533333,0.000000,9.333333,0.000000,0.375667,2467.000000,52.533333,0.000000,26.533333,0.000000,0.215000,1081.000000,0.327000,0.487667,0.160667,1134.000000,2520.000000,1386.000000
reading,347,15.866667,0.000000,58.933333,0.000000,-0.313333,-2719.000000,15.866667,0.000000,53.466667,0.000000,-0.472333,-2845.000000,15.866667,0.000000,75.066667,0.000000,-0.497000,-2743.000000,-0.183667,-0.159000,0.024667,-24.000000,-126.000000,-102.000000
reading,348,30.666667,0.000000,67.600000,0.000000,-0.324333,-1225.000000,30.666667,0.000000,79.200000,0.000000,-0.355000,-1141.000000,30.666667,0.000000,28.800000,0.000000,-0.043000,-1093.000000,0.281333,-0.030667,-0.312000,132.000000,84.000000,-48.000000
reading,349,74.000000,0.000000,20.266667,0.000000,0.453667,1017.000000,74.000000,0.000000,50.533333,0.000000,0.311667,790.000000,74.000000,0.000000,86.000000,0.000000,-0.189667,-121.000000,-0.643333,-0.142000,0.501333,-1138.000000,-227.000000,911.000000
reading,350,40.800000,0.000000,23.866667,0.000000,0.148000,2174.000000,40.800000,0.000000,78.266667,0.000000,-0.359000,-235.000000,40.800000,0.000000,71.466667,0.000000,-0.388667,-418.000000,-0.536667,-0.507000,0.029667,-2592.000000,-2409.000000,183.000000
