run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
722,50,5,799,0,1.0000,0.0000,0,0.7738,0,0,0.0860,0.0000
723,49,5,1102,0,0.8000,0.0163,0,0.8589,0,0,0.0610,0.0000
724,50,4,995,0,1.0000,0.0000,0,0.8393,0,0,0.0784,0.0000
725,50,5,1020,0,1.0000,0.0000,0,0.8251,0,0,0.1223,0.0000
726,50,9,626,0,1.0000,0.0000,0,0.7426,0,0,0.1164,0.0000
727,45,10,1249,0,0.6000,0.0711,0,0.8713,0,0,0.0564,0.0000
728,47,11,1100,0,0.6000,0.0426,0,0.8683,0,0,0.0752,0.0000
729,50,5,921,0,1.0000,0.0000,0,0.7943,0,0,0.0619,0.0000
730,50,4,1058,0,1.0000,0.0000,0,0.8530,0,0,0.1114,0.0000
731,50,8,767,0,1.0000,0.0000,0,0.7377,0,0,0.0592,0.0000
732,49,4,759,0,0.8000,0.0163,0,0.8398,0,0,0.1154,0.0000
733,48,8,993,0,0.8000,0.0333,0,0.7794,0,0,0.0829,0.0000
734,50,6,837,0,1.0000,0.0000,0,0.8056,0,0,0.1249,0.0000
735,50,5,905,0,1.0000,0.0000,0,0.8036,0,0,0.1060,0.0000
736,50,4,923,0,1.0000,0.0000,0,0.8447,0,0,0.0424,0.0000
737,46,8,1297,0,0.6000,0.0609,0,0.8796,0,0,0.1000,0.0000
738,49,5,1107,0,0.8000,0.0163,0,0.8377,0,0,0.1260,0.0000
739,49,7,969,0,0.8000,0.0163,0,0.8089,0,0,0.0358,0.0000
740,50,5,759,0,1.0000,0.0000,0,0.7906,0,0,0.0567,0.0000
741,46,6,1108,0,0.6000,0.0609,0,0.8548,0,0,0.1622,0.0000
742,47,4,1102,0,0.8000,0.0511,0,0.8559,0,0,0.0676,0.0000
743,50,4,924,0,1.0000,0.0000,0,0.7954,0,0,0.0565,0.0000
744,50,6,762,0,1.0000,0.0000,0,0.8124,0,0,0.0521,0.0000
745,48,4,756,0,0.8000,0.0333,0,0.8055,0,0,0.0791,0.0000
746,50,2,588,0,1.0000,0.0000,0,0.7504,0,0,0.1346,0.0000
747,50,6,1097,0,1.0000,0.0000,0,0.8339,0,0,0.1120,0.0000
748,50,3,829,0,1.0000,0.0000,0,0.8593,0,0,0.0595,0.0000
749,50,10,946,0,1.0000,0.0000,0,0.7818,0,0,0.0273,0.0000
750,48,1,1169,0,0.6000,0.0250,0,0.8235,0,0,0.0879,0.0000
751,48,3,1118,0,0.8000,0.0333,0,0.8451,0,0,0.0594,0.0000
752,50,6,1010,0,1.0000,0.0000,0,0.8129,0,0,0.0302,0.0000
753,50,6,831,0,1.0000,0.0000,0,0.7492,0,0,0.0789,0.0000
754,50,5,834,0,1.0000,0.0000,0,0.7942,0,0,0.1097,0.0000
755,46,7,1177,0,0.8000,0.0696,0,0.8605,0,0,0.1384,0.0000
756,50,8,790,0,1.0000,0.0000,0,0.8317,0,0,0.0708,0.0000
757,45,3,725,0,0.8000,0.0889,0,0.7772,0,0,0.0593,0.0000
758,47,9,1083,0,0.6000,0.0426,0,0.8629,0,0,0.0483,0.0000
759,50,8,780,0,1.0000,0.0000,0,0.8423,0,0,0.0700,0.0000
760,48,3,977,0,0.8000,0.0333,0,0.8054,0,0,0.1186,0.0000
761,45,5,787,0,0.8000,0.0889,0,0.8200,0,0,0.0711,0.0000
762,48,3,844,0,0.8000,0.0333,0,0.7787,0,0,0.0531,0.0000
763,44,7,1046,0,0.8000,0.1091,0,0.7698,0,0,0.0568,0.0000
764,45,2,955,0,0.8000,0.0889,0,0.8159,0,0,0.0496,0.0000
765,47,1,887,0,0.8000,0.0511,0,0.7944,0,0,0.0854,0.0000
766,41,4,943,0,0.8000,0.1756,0,0.8111,0,0,0.2775,0.0000
767,46,0,610,0,0.8000,0.0696,0,0.7569,0,0,0.0828,0.0000
768,45,7,937,0,0.8000,0.0889,0,0.7507,0,0,0.0730,0.0000
769,47,3,963,0,0.8000,0.0511,0,0.7975,0,0,0.1414,0.0000
770,41,5,766,0,0.8000,0.1756,0,0.7884,0,0,0.2368,0.0000
771,45,0,659,0,0.8000,0.0889,0,0.7626,0,0,0.0712,0.0000
772,46,1,827,0,0.8000,0.0696,0,0.7745,0,0,0.1089,0.0000
773,43,4,837,0,0.8000,0.1302,0,0.8291,0,0,0.1285,0.0000
774,47,4,1129,0,0.8000,0.0511,0,0.8136,0,0,0.0720,0.0000
775,42,1,832,0,0.8000,0.1524,0,0.8080,0,0,0.1220,0.0000
776,49,5,1103,0,0.8000,0.0163,0,0.8130,0,0,0.0463,0.0000
777,45,8,1179,0,0.6000,0.0711,0,0.8679,0,0,0.0696,0.0000
778,45,5,1175,0,0.4000,0.0533,0,0.7946,0,0,0.0753,0.0000
779,48,5,700,0,0.8000,0.0333,0,0.7221,0,0,0.0700,0.0000
780,49,10,1015,0,0.8000,0.0163,0,0.8496,0,0,0.1300,0.0000
781,50,6,991,0,1.0000,0.0000,0,0.8294,0,0,0.0493,0.0000
