run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
2681,50,7,948,0,1.0000,0.0000,0,0.8507,0,0,0.1113,0.0000
2682,48,5,1195,0,0.6000,0.0250,0,0.8450,0,0,0.0315,0.0000
2683,44,4,1109,0,0.4000,0.0727,0,0.8057,0,0,0.0750,0.0000
2684,50,4,809,0,1.0000,0.0000,0,0.7844,0,0,0.0450,0.0000
2685,50,3,706,0,1.0000,0.0000,0,0.8064,0,0,0.0876,0.0000
2686,49,5,929,0,0.8000,0.0163,0,0.7910,0,0,0.0543,0.0000
2687,50,4,1009,0,1.0000,0.0000,0,0.7983,0,0,0.0811,0.0000
2688,50,6,893,0,1.0000,0.0000,0,0.7710,0,0,0.0984,0.0000
2689,48,2,1142,0,0.6000,0.0250,0,0.8176,0,0,0.0886,0.0000
2690,50,2,737,0,1.0000,0.0000,0,0.7770,0,0,0.0922,0.0000
2691,45,7,1199,0,0.4000,0.0533,0,0.8540,0,0,0.0838,0.0000
2692,50,8,888,0,1.0000,0.0000,0,0.8223,0,0,0.1002,0.0000
2693,48,2,1145,0,0.8000,0.0333,0,0.8228,0,0,0.0403,0.0000
2694,50,4,799,0,1.0000,0.0000,0,0.7843,0,0,0.0466,0.0000
2695,49,8,792,0,0.8000,0.0163,0,0.7463,0,0,0.0882,0.0000
2696,50,3,889,0,1.0000,0.0000,0,0.8199,0,0,0.0721,0.0000
2697,45,5,1099,0,0.8000,0.0889,0,0.8043,0,0,0.1076,0.0000
2698,49,7,844,0,0.8000,0.0163,0,0.8331,0,0,0.0892,0.0000
2699,43,3,1095,0,0.6000,0.1209,0,0.8537,0,0,0.0805,0.0000
2700,50,4,885,0,1.0000,0.0000,0,0.8064,0,0,0.1335,0.0000
2701,49,9,1085,0,0.8000,0.0163,0,0.8097,0,0,0.0581,0.0000
2702,50,5,894,0,1.0000,0.0000,0,0.7863,0,0,0.1532,0.0000
2703,44,8,1385,0,0.4000,0.0727,0,0.8905,0,0,0.0806,0.0000
2704,50,7,1122,0,1.0000,0.0000,0,0.8553,0,0,0.0985,0.0000
2705,49,9,975,0,0.8000,0.0163,0,0.8237,0,0,0.0890,0.0000
2706,47,6,1176,0,0.8000,0.0511,0,0.8436,0,0,0.0964,0.0000
