run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
3256,48,9,895,0,0.8000,0.0333,0,0.8453,0,0,0.1029,0.0000
3257,45,2,1283,0,0.6000,0.0711,0,0.8678,0,0,0.1023,0.0000
3258,49,5,956,0,0.8000,0.0163,0,0.8069,0,0,0.1084,0.0000
3259,50,1,1085,0,1.0000,0.0000,0,0.8177,0,0,0.0415,0.0000
3260,50,8,933,0,1.0000,0.0000,0,0.8304,0,0,0.0854,0.0000
3261,50,3,782,0,1.0000,0.0000,0,0.7899,0,0,0.1003,0.0000
3262,48,11,1184,0,0.6000,0.0250,0,0.8393,0,0,0.0822,0.0000
3263,44,9,1188,0,0.6000,0.0818,0,0.9168,0,0,0.1059,0.0000
3264,50,6,969,0,1.0000,0.0000,0,0.8467,0,0,0.1593,0.0000
3265,47,3,1072,0,0.8000,0.0511,0,0.8768,0,0,0.0976,0.0000
3266,48,6,980,0,0.6000,0.0250,0,0.8359,0,0,0.0920,0.0000
3267,44,8,1165,0,0.4000,0.0727,0,0.9069,0,0,0.0648,0.0000
3268,50,7,648,0,1.0000,0.0000,0,0.7753,0,0,0.0707,0.0000
3269,47,4,1239,0,0.4000,0.0255,0,0.8570,0,0,0.0973,0.0000
3270,48,7,1068,0,0.8000,0.0333,0,0.8599,0,0,0.0468,0.0000
3271,49,6,1139,0,0.8000,0.0163,0,0.8747,0,0,0.0933,0.0000
3272,40,8,1232,0,0.6000,0.1500,0,0.8668,0,0,0.1405,0.0000
3273,50,9,872,0,1.0000,0.0000,0,0.8707,0,0,0.0934,0.0000
3274,48,8,1117,0,0.6000,0.0250,0,0.8666,0,0,0.0719,0.0000
3275,47,8,1229,0,0.4000,0.0255,0,0.8669,0,0,0.1059,0.0000
3276,49,6,1095,0,0.8000,0.0163,0,0.8006,0,0,0.0533,0.0000
3277,46,6,1324,0,0.8000,0.0696,0,0.8615,0,0,0.0605,0.0000
3278,50,8,1114,0,1.0000,0.0000,0,0.8666,0,0,0.0597,0.0000
3279,50,5,925,0,1.0000,0.0000,0,0.8027,0,0,0.0895,0.0000
3280,45,4,1128,0,0.6000,0.0800,0,0.8773,0,0,0.0887,0.0000
