run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1344,45,4,1300,0,0.6000,0.0711,0,0.9053,0,0,0.0797,0.0000
1345,48,4,1122,0,0.8000,0.0333,0,0.8481,0,0,0.0221,0.0000
1346,49,7,1132,0,0.8000,0.0163,0,0.8266,0,0,0.0416,0.0000
1347,49,6,1030,0,0.8000,0.0163,0,0.8190,0,0,0.0904,0.0000
1348,49,6,1050,0,0.8000,0.0163,0,0.8127,0,0,0.0839,0.0000
1349,47,5,970,0,0.8000,0.0511,0,0.8272,0,0,0.0754,0.0000
1350,47,7,1222,0,0.6000,0.0426,0,0.8366,0,0,0.0850,0.0000
1351,48,5,834,0,0.8000,0.0333,0,0.7912,0,0,0.0865,0.0000
1352,50,4,910,0,1.0000,0.0000,0,0.8387,0,0,0.0897,0.0000
1353,50,5,882,0,1.0000,0.0000,0,0.7748,0,0,0.1150,0.0000
1354,47,5,934,0,0.8000,0.0511,0,0.8235,0,0,0.0609,0.0000
1355,49,4,1000,0,0.8000,0.0163,0,0.8300,0,0,0.0708,0.0000
1356,46,7,993,0,0.6000,0.0609,0,0.8580,0,0,0.1163,0.0000
1357,49,7,1069,0,0.8000,0.0163,0,0.8667,0,0,0.0630,0.0000
1358,50,5,864,0,1.0000,0.0000,0,0.7638,0,0,0.0878,0.0000
1359,41,11,1336,0,0.4000,0.1366,0,0.8785,0,0,0.1088,0.0000
1360,50,6,1014,0,1.0000,0.0000,0,0.8739,0,0,0.0549,0.0000
1361,50,4,1021,0,1.0000,0.0000,0,0.8312,0,0,0.0618,0.0000
1362,50,6,859,0,1.0000,0.0000,0,0.7776,0,0,0.1005,0.0000
1363,50,5,770,0,1.0000,0.0000,0,0.7585,0,0,0.0892,0.0000
1364,50,8,846,0,1.0000,0.0000,0,0.8243,0,0,0.0675,0.0000
1365,50,6,1016,0,1.0000,0.0000,0,0.8345,0,0,0.0672,0.0000
1366,50,5,929,0,1.0000,0.0000,0,0.7858,0,0,0.0595,0.0000
1367,47,4,1012,0,0.8000,0.0511,0,0.8856,0,0,0.0786,0.0000
1368,46,2,1255,0,0.4000,0.0435,0,0.8364,0,0,0.0449,0.0000
1369,50,2,1046,0,1.0000,0.0000,0,0.7982,0,0,0.1171,0.0000
1370,50,3,648,0,1.0000,0.0000,0,0.7679,0,0,0.0779,0.0000
1371,49,7,1093,0,0.8000,0.0163,0,0.8338,0,0,0.0762,0.0000
1372,50,3,837,0,1.0000,0.0000,0,0.7725,0,0,0.1184,0.0000
1373,50,3,840,0,1.0000,0.0000,0,0.8376,0,0,0.0646,0.0000
1374,50,4,743,0,1.0000,0.0000,0,0.7777,0,0,0.1120,0.0000
1375,50,4,837,0,1.0000,0.0000,0,0.7669,0,0,0.0764,0.0000
1376,50,6,1040,0,1.0000,0.0000,0,0.8225,0,0,0.0627,0.0000
1377,50,6,817,0,1.0000,0.0000,0,0.7859,0,0,0.0728,0.0000
1378,50,5,859,0,1.0000,0.0000,0,0.7666,0,0,0.0471,0.0000
1379,49,4,1059,0,0.8000,0.0163,0,0.8537,0,0,0.1174,0.0000
1380,50,4,643,0,1.0000,0.0000,0,0.7301,0,0,0.0924,0.0000
1381,50,7,996,0,1.0000,0.0000,0,0.8127,0,0,0.0606,0.0000
1382,50,3,939,0,1.0000,0.0000,0,0.8028,0,0,0.1120,0.0000
1383,50,4,872,0,1.0000,0.0000,0,0.7402,0,0,0.0294,0.0000
1384,50,3,1066,0,1.0000,0.0000,0,0.8084,0,0,0.1029,0.0000
1385,50,5,899,0,1.0000,0.0000,0,0.8548,0,0,0.0555,0.0000
1386,49,14,1002,0,0.8000,0.0163,0,0.8006,0,0,0.0786,0.0000
1387,48,4,815,0,0.8000,0.0333,0,0.8250,0,0,0.0955,0.0000
1388,50,3,862,0,1.0000,0.0000,0,0.7747,0,0,0.0778,0.0000
1389,47,3,1050,0,0.8000,0.0511,0,0.8113,0,0,0.0866,0.0000
1390,50,7,1021,0,1.0000,0.0000,0,0.7967,0,0,0.0817,0.0000
1391,49,3,874,0,0.8000,0.0163,0,0.7853,0,0,0.0661,0.0000
1392,50,7,1032,0,1.0000,0.0000,0,0.7844,0,0,0.0872,0.0000
1393,50,6,982,0,1.0000,0.0000,0,0.8141,0,0,0.0640,0.0000
1394,46,2,928,0,0.8000,0.0696,0,0.8130,0,0,0.0917,0.0000
1395,48,3,1087,0,0.6000,0.0250,0,0.8277,0,0,0.0470,0.0000
1396,50,4,780,0,1.0000,0.0000,0,0.7924,0,0,0.1083,0.0000
1397,50,5,776,0,1.0000,0.0000,0,0.8074,0,0,0.0621,0.0000
1398,50,9,1046,0,1.0000,0.0000,0,0.8582,0,0,0.0694,0.0000
1399,50,5,687,0,1.0000,0.0000,0,0.8223,0,0,0.1046,0.0000
1400,48,6,1055,0,0.8000,0.0333,0,0.8055,0,0,0.1321,0.0000
1401,50,9,836,0,1.0000,0.0000,0,0.7813,0,0,0.0881,0.0000
1402,50,1,849,0,1.0000,0.0000,0,0.7999,0,0,0.1033,0.0000
1403,50,7,1128,0,1.0000,0.0000,0,0.8341,0,0,0.0699,0.0000
1404,50,4,730,0,1.0000,0.0000,0,0.8123,0,0,0.1179,0.0000
1405,49,10,1104,0,0.8000,0.0163,0,0.8664,0,0,0.1138,0.0000
1406,50,3,874,0,1.0000,0.0000,0,0.8214,0,0,0.0274,0.0000
1407,45,4,1085,0,0.4000,0.0533,0,0.8352,0,0,0.0704,0.0000
1408,50,4,871,0,1.0000,0.0000,0,0.8109,0,0,0.0386,0.0000
1409,49,8,1035,0,0.8000,0.0163,0,0.7929,0,0,0.0359,0.0000
1410,50,3,835,0,1.0000,0.0000,0,0.8181,0,0,0.0775,0.0000
1411,50,7,943,0,1.0000,0.0000,0,0.8145,0,0,0.0705,0.0000
1412,46,12,1153,0,0.6000,0.0609,0,0.8418,0,0,0.0859,0.0000
1413,50,4,1041,0,1.0000,0.0000,0,0.8165,0,0,0.0530,0.0000
1414,50,3,948,0,1.0000,0.0000,0,0.8196,0,0,0.0503,0.0000
1415,50,6,1051,0,1.0000,0.0000,0,0.8168,0,0,0.0788,0.0000
1416,47,6,964,0,0.8000,0.0511,0,0.8335,0,0,0.0640,0.0000
1417,50,1,914,0,1.0000,0.0000,0,0.7925,0,0,0.0988,0.0000
1418,50,8,1066,0,1.0000,0.0000,0,0.8040,0,0,0.0705,0.0000
