run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
759,76,22,2441,0,0.5000,0.1842,0,0.7845,0,0,0.1508,0.0000
760,78,19,2605,0,0.5000,0.1692,0,0.7694,0,0,0.0770,0.0000
761,87,11,2505,0,0.4000,0.0747,0,0.7755,0,0,0.0662,0.0000
762,93,19,2443,0,0.6000,0.0527,0,0.7518,0,0,0.0774,0.0000
763,86,11,2594,0,0.6000,0.1163,0,0.7726,0,0,0.1447,0.0000
764,75,17,2738,0,0.5000,0.2067,0,0.8063,0,0,0.0871,0.0000
765,76,20,2590,0,0.3000,0.1579,0,0.8004,0,0,0.1317,0.0000
766,78,17,2665,0,0.4000,0.1564,0,0.8191,0,0,0.0896,0.0000
767,78,17,2464,0,0.5000,0.1821,0,0.7870,0,0,0.2153,0.0000
768,80,8,2527,0,0.4000,0.1475,0,0.8247,0,0,0.1232,0.0000
769,85,16,2621,0,0.4000,0.0976,0,0.7936,0,0,0.0800,0.0000
770,81,21,2601,0,0.4000,0.1420,0,0.8113,0,0,0.1034,0.0000
771,81,17,2648,0,0.4000,0.1222,0,0.8298,0,0,0.1291,0.0000
772,82,19,2541,0,0.5000,0.1415,0,0.8417,0,0,0.1933,0.0000
773,78,17,2587,0,0.3000,0.1615,0,0.8281,0,0,0.1811,0.0000
774,70,14,2694,0,0.2000,0.1943,0,0.8263,0,0,0.1286,0.0000
775,84,17,2635,0,0.4000,0.1190,0,0.7868,0,0,0.1127,0.0000
776,57,13,2606,0,0.2000,0.3211,0,0.8625,0,0,0.2358,0.0000
777,83,22,2435,0,0.6000,0.1386,0,0.7925,0,0,0.1281,0.0000
