run,total_food,food_competition_events,proximity_events,agents_alive_at_end,mean_success,food_gini_coefficient,social_feeding_events,aggregation_index,alarm_evasion_events,food_sharing_events,territorial_index,alarm_response_rate
1400,74,19,2693,0,0.3000,0.1730,0,0.8501,0,0,0.1949,0.0000
1401,72,17,2616,0,0.3000,0.1556,0,0.8508,0,0,0.1160,0.0000
1402,87,15,2421,0,0.6000,0.1046,0,0.8095,0,0,0.1234,0.0000
1403,63,21,2522,0,0.4000,0.3222,0,0.8462,0,0,0.2978,0.0000
1404,65,23,2875,0,0.2000,0.2046,0,0.8418,0,0,0.1257,0.0000
1405,89,24,2434,0,0.5000,0.0865,0,0.7637,0,0,0.0719,0.0000
1406,83,15,2075,0,0.7000,0.1602,0,0.8242,0,0,0.2425,0.0000
1407,85,30,2503,0,0.7000,0.1424,0,0.8196,0,0,0.2181,0.0000
1408,78,8,2107,0,0.7000,0.2077,0,0.7643,0,0,0.2395,0.0000
1409,86,14,2307,0,0.7000,0.1302,0,0.7890,0,0,0.1393,0.0000
1410,69,15,2680,0,0.3000,0.1812,0,0.8365,0,0,0.1644,0.0000
1411,78,20,2661,0,0.4000,0.1641,0,0.8401,0,0,0.0733,0.0000
1412,80,16,2796,0,0.4000,0.1375,0,0.8005,0,0,0.1155,0.0000
1413,82,19,2509,0,0.6000,0.1610,0,0.8051,0,0,0.1295,0.0000
1414,77,11,2530,0,0.4000,0.1961,0,0.8196,0,0,0.0862,0.0000
1415,85,14,2485,0,0.4000,0.1165,0,0.7856,0,0,0.0557,0.0000
1416,78,11,2460,0,0.6000,0.2000,0,0.7892,0,0,0.1980,0.0000
1417,93,17,2727,0,0.6000,0.0527,0,0.7836,0,0,0.1314,0.0000
1418,75,9,2564,0,0.4000,0.2093,0,0.8006,0,0,0.1358,0.0000
1419,83,6,2431,0,0.6000,0.1386,0,0.8205,0,0,0.1872,0.0000
1420,75,16,2631,0,0.4000,0.1853,0,0.8462,0,0,0.1127,0.0000
1421,73,21,2425,0,0.4000,0.2096,0,0.8104,0,0,0.0852,0.0000
1422,73,14,2639,0,0.3000,0.2260,0,0.8404,0,0,0.0957,0.0000
1423,73,13,2780,0,0.2000,0.1630,0,0.8469,0,0,0.1317,0.0000
1424,72,17,2532,0,0.3000,0.2306,0,0.8356,0,0,0.2770,0.0000
1425,77,12,2355,0,0.5000,0.1857,0,0.8167,0,0,0.0825,0.0000
1426,53,19,2637,0,0.2000,0.3679,0,0.8813,0,0,0.2854,0.0000
